,Unnamed: 0,Uganda Ltd,15 Jinja Station,Unnamed: 3,Unnamed: 4
0,26/04/22,Rohasha Enterprises (U) Ltd,Mechanized maintenance of selected unpaved national roads. lot 20,IPC 02 Call off order 1,"659,461,130"
1,07/04/22,Universal Engineering (U) Ltd,"Mechanized maintenance of selected unpaved national roads. 319kms, lot 11 Kabale Station. Interest on late payment","Interest on late payment Cert no 5, C005","60,900,693"
2,07/04/22,Universal Engineering (U) Ltd,"Mechanized maintenance of selected unpaved national roads. 319kms, lot 11 Kabale Station. Interest on late payment",Interest on late payment no.1,"92,296,122"
3,07/04/22,Universal Engineering (U) Ltd,"Mechanized maintenance of selected unpaved national roads. 319kms, lot 11 Kabale Station. Interest on late payment",Interest on late payment no.6,"118,632,284"
4,19/04/22,Grey Stone Investments Limited,"Mechanized maintenance of selected unpaved national roads. 319kms, lot 11 Kabale Station. Interest on late payment",Interest on late payment no.5,"20,625,292"
5,19/04/22,Grey Stone Investments Limited,"Mechanized maintenance of selected unpaved national roads. 319kms, lot 11 Kabale Station. Interest on late payment",Interest on late payment no.6,"48,461,992"
6,19/04/22,Grey Stone Investments Limited,"Mechanized maintenance of selected unpaved national roads. 319kms, lot 11 Kabale Station. Interest on late payment",Interest on late payment no.1,"106,660,381"
7,06/06/22,Swift Engineering u ltd,Periodic maintenance of unpaved roads for 23 UNRA station Lot 5. Jinja Station,IPC 3,"208,208,371"
8,31/05/22,Strakon limited,"Mechanized maintenance of selected unpaved national roads. 383kms, lot 19 Moroto Station",075,"258,861,121"
9,28/02/22,Kasese Nail And Wood Industry Ltd,"Mechanized maintenance of selected unpaved national roads, lot 07 Masaka Station",No 02 and C00 no.1,"1,347,697,269"
10,21/04/22,Wanaik Construction Company Limited,"Mechanized maintenance of selected unpaved national roads, 707 kms, lot 13 Mbarara Station",IPC No.2 and C00 10,"23,896,199"
11, ,Total, , ,"144,301,631,989"
