,Acronym,Meaning
0,BEC,Budget Execution Circular
1,Bn,Billion
2,CGV,Chief Government Valuer
3,GoU,Government of Uganda
4,IESBA,International Ethics Standards Board for Accountants
5,IFMS,Integrated Financial Management System
6,INTOSAI,International Organization of Supreme Audit Institutions
7,IPC,Interim Payment Certificate
8,ISSAIs,International Standards of Supreme Audit Institutions
9,KJE,Kampala-Jinja Expressway
10,Km,Kilometre
11,MDAs,"Ministries, Departments and Agencies"
12,MoFPED,"Ministry of Finance, Planning and Economic Development"
13,MoLHUD,"Ministry of Lands, Housing and Urban Development"
14,MTEF,Medium Term Expenditure Framework
15,NAA,National Audit Act
16,NDP,National Development Plan
17,NHCC,National Housing and Construction Corporation
18,NTR,Non-Tax Revenue
19,OAG,Office of the Auditor General
20,PAPs,Project Affected Persons
21,PBS,Program Budgeting System
22,PDU,Procurement & Disposal Unit
23,PFMA,Public Finance Management Act
24,PFMR,Public Finance Management Regulations
25,PPDA,Public Procurement & Disposal of Public Assets
26,PS/ST,Permanent Secretary / Secretary to the Treasury
27,RoW,Right of Way
28,TI,Treasury Instructions
29,Trn,Trillion
30,UCF,Uganda Consolidated Fund
31,UGX,Uganda Shilling
32,UNRA,Uganda National Roads Authority
33,URF,Uganda Rod Fund
