,Acronym,Meaning
0,ADB,African Development Bank
1,ADF,African Development Fund
2,GOU,Government of Uganda
3,IESBA,International Ethics Standards Board for Accountants
4,ISA,International Standards on Auditing
5,ISSAIs,International Standards of Supreme Audit Institutions
6,LVBC,Lake Victoria Basin Commission
7,MOFPED,"Ministry of Finance, Planning and Economic Development"
8,MoWT,Ministry of Works and Transport
9,MLVMCT,Multinational Lake Victoria Maritime Communications and Transport
10,UA,Unit of Account
11,UG,Uganda
12,UGX,Uganda Shillings
