,Acronym,Meaning
0,Bn,Billion
1,EIA,Entebbe International Airport
2,FPPM,Financial Policies and Procedure Manual
3,FY,Financial Year
4,GoU,Government of Uganda
5,HOD,Head of Department
6,ICAO,International Civil Aviation Organisation
7,INTOSAI,International Organization of Supreme Audit Institutions
8,ISO,Internal Security Organisation
9,MoFPED,Ministry of Finance Planning and Economic Development
10,MoWT,Ministry of Works and Transport
11,NDP,National Development Plan
12,NTR,Non Tax Revenue
13,PPDA,Public Procurement and Disposal Authority
14,UCAA,Uganda Civil Aviation Authority
15,UGX,Uganda shillings
16,UIPE,Uganda Institute of Professional Engineers
17,UN,United Nations
18,USD,United States Dollars
