,S/N.,Month (for which salary is paid),Salary payment date,Loan (482) payment date,Variance (in days),Remarks
0,1.0,July,8/3/2020,8/31/2020,28.0,Delayed
1,2.0,August,8/26/2020,9/21/2020,26.0,Delayed
2,3.0,September,9/21/2020,10/26/2020,35.0,Delayed
3,4.0,October,10/26/2020,11/16/2020,21.0,Delayed
4,5.0,November,11/26/2020,12/16/2020,20.0,Delayed
5,6.0,December,12/16/2020,2/15/2021,61.0,Delayed
6,7.0,January,1/28/2021,3/3/2021,34.0,Delayed
7,8.0,February,2/25/2021,3/25/2021,28.0,Delayed
8,9.0,March,3/25/2021,4/14/2021,20.0,Delayed
9,10.0,April,4/22/2021,4/22/2021,0.0,Concurrent
10,11.0,May,5/25/2021,6/22/2021,28.0,Delayed
11,12.0,June,6/22/2021,6/25/2021,3.0,Delayed
12, ,Total, , ,304.0, 
13, ,Average, , ,25.3, 
