,Client,MoWT
0,Works Contract Number,MoWT/WORKS/14-15/00340
1,Supervisor,CMT (MoWT)
2,Works contractor,Sumadhura Technologies ltd
3,Works Contract value,"2,096,167,614"
4,Works Contract signature date,17th May 2016
5,Works Contract Commencement date,8 June 2016
6,Works Contract duration,12 months
7,Original Works Completion date,8 June 2017
8,First revised Works Completion date,28 Dec 2017
9,Second revised Works Completion date,28 April 2018
10,Amount certified todate,"1,357,286,493"
11,% Progress reported,75%
12,% progress (financial),64%
13,Time lapse at time of audit,200 days
