,Implementing Agency,Gulu Municipal Council
0,Funding,Ministry of Education (SFG)
1,Works contractor,Wa General Traders
2,Procurement Reference No.,Gulu 754/Wrks/2017-2018/00013
3,Date of contract award,"02 nd February, 2018"
4,Contract signing date,"06 th February, 2018"
5,Commencement date,"13 th February, 2018 ( As per signed contract, 7days from date of signing of Contract)"
6,Actual commencement date,25 th February 2018
7,Original contract period,No information given
8,Initial date of completion,"June, 2018"
9,Revised date of completion, 
10,Actual Completion Date,13 th June 2018
11,Contract amount,"UGX 23,319,896= VAT inclusive"
12,Engineers estimate,"UGX. 24,599,930="
13,Actual value of work done,"UGX. 23,319,896="
