,Finding,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Cause Implication,Unnamed: 6,Unnamed: 7,Unnamed: 8,Recommendation,Unnamed: 10
0,"Ok (iv) Timeliness in Payments General Conditions of Contract require that payments shall be made by the Procuring and Disposing Entity, no later than 30 after submission and certification of a request for payment. Audit noted that payments by the Municipality were as detailed below. Assessment of the Municipality paid invoices submitted on time as per the signed contract. However, the contractor’s retention money has not been paid the project is still in DLP. the payment records revealed that Ok Ok", , , , , , , , , , 
1,Payment Records, , , , , , , , , , 
2,No.,Date requested,Amount,Date,Amount, ,Date Paid,Amount,Remark, , 
3, , ,requested,certified,certified, , ,paid, , , 
4, , ,(UGX), ,(UGX), , ,(UGX), , , 
5,"1 2 nd March 2018 22,101,080 5 th March 2018 21,213,680 6 th March 2018 19,940,859 No delays in payment", , , , , , , , , , 
6,"27 th March 2018 14,900,000 14,006,000 29 th March 2018 14,006,000 No delays in payment 26 th March 2018 2", , , , , , , , , , 
7,"3 17 th April 2018 17,014,400 18 th April 2018 15,993,536 19 th April 2018 15,993,536 No delays in payment", , , , , , , , , , 
8,"4 6 th June 2018 22,000,000 11 th June 2018 15,071,768 11 th June 2018 15,071,768 No delays in payment", , , , , , , , , , 
9, , , , , , , , , , , 
10,"progress reports makes it difficult for the Municipality to make informed decisions regarding the implementation of that progress reports are prepared and filed on the contract management file. Comprehensive project completion reports should be prepared and filed. Preparation of progress reports by the of detailed Municipality should ensure Municipality supervised the works. No detailed progress reports were prepared. However, brief supervision reports were found on file but with very little detail about progress of works. completion report was availed to the auditors. It was therefore considered unavailable. municipality to prepare project specific reports. Review of Contract Supervision and Monitoring Arrangements Reluctance Absence The", , , , , , , , , , 
