,Finding,Unnamed: 1,Unnamed: 2,Cause,Implication,Recommendation,Unnamed: 6,Unnamed: 7
0,hecks for Design Conformance, , , , , , , 
1,No.,Items,Drawings/ Specifications Field checks/ measurements, , , ,Conformity, 
2,3 Height of screen wall 2000mm 1750mm Non conformity, , , , , , , 
3,4 Rafters 100x50mm 100x50mm Ok, , , , , , , 
4,5 Purlins 75x50mm 75x50mm Ok, , , , , , , 
5,6 Walkway 1000mm wide 1000mm wide Ok, , , , , , , 
6,7 Door shutters (No.) 900x2100mm (5No.) 840x1820mm (5No.) Non conformity, , , , , , , 
7,8 Urinal size 1500x1150mm 1720x1080mms Non conformity, , , , , , , 
8,9 Size of the septic tank 6260x2460mm 6280x2450mm Ok, , , , , , , 
9,"table above shows that 4 out of the 8 items checked conformed to the physical specifications/drawings, representing 57% conformance", , , , , , , 
10,In-situ concrete tests could not be carried out on the structure since all concrete elements were already overlaid with cement-sand mortar finishes. (iii) Conformance of Audit Test Results to Specifications N/A N/A N/A, , , , , , , 
11,(iv) Physical inspection to ascertain presence of defects auditors inspected works on 8 th August 2018 in the presence of the Engineering Staff from Municipal Engineer’s Office Gulu. The following were observed:, , , , , , , 
12,floor finish. The floor was not finished smooth. Laxity in supervision of works. Premature wearing of the floor surface. The floor finish should be made smooth with cement grout., , , , , , , 
13,"Assessment of the utilisation of the infrastructure Observed functionality and usage the time of audit, works were complete, but the facility had not yet been put to use by the intended beneficiaries. Basing on the physical inspections, the N/A Ok. Ok.", , , , , , , 
