,S/ N,Municipality,Scope of Works,Unnamed: 3,Unnamed: 4,Unnamed: 5
0, , ,Sealing,Gravelling,Contracted,Street Lighting
1,1.0,Jinja,-,-,-,-
2,2.0,Kamuli,-,1,-,-
3,3.0,Moroto,-,-,1,-
4,4.0,Kitgum,-,3,-,-
5,5.0,Gulu,-,-,1,-
6,6.0,Arua,1,-,-,1
7,7.0,Mubende,-,3,-,-
8,8.0,Lira,-,3,-,-
9,9.0,Mbale,-,3,-,-
10,10.0,Tororo,-,3,-,-
11,11.0,Soroti,-,2,1,-
12,12.0,Entebbe,2,-,1,-
13,13.0,Hoima,-,5,-,-
14,14.0,Fort Portal,1,-,-,-
15,15.0,Kasese,-,3,-,-
16,16.0,Kabale,1,2,-,-
17,17.0,Mbarara,-,2,-,1
18,18.0,Masaka,-,-,1,-
