,Finding,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Cause,Unnamed: 8,Unnamed: 9,Implication,Unnamed: 11,Unnamed: 12,Recommendations,Unnamed: 14
0,Management Response We have remeasured all quantities for IPC-7 and accordingly corrected Particulary for item 23.17(c) the remeasured value is 278. Comment To be followed up. Audit, , , , , , , , , , , , , , 
1,"13: Overpayment computation on PETER PAUL OPOK ROAD (0.897KM) The Auditor conducted measurements of 4 BoQ Items. Of these items checked, none of the items was found to have been overpaid; as shown in the table inset below. In fact, some items were observed to have been underpaid; as shown in the table inset below; which requires re-checking and resolving through subsequent IPCs. Item No. Item Description Location Unit Measured Qty Certifie d Qty Differenc e (Certified -Audit) Amount of Overpay ment Rate Remarks 13) PETER PAUL OPOK ROAD (0.897KM) 23.01(a) 23.17(b) 23.17(c ) Precast concrete C lass 30 barrier kerb Precast Cover slabs without up stand beam Cover slabs with Up stand beam 42.01(a) Asphalt (A/C) concrete Response ref. ANNEX 3.1.5(b)(iii)_10( a) ref. ANNEX 3.1.5(b)(iii)_10( b) ref. ANNEX 3.1.5(b)(iii)_10( b) ref. ANNEX 3.1.5(b)(iii)_10( d) m 1,432.80 1,352.29 -80.51 51,200 No. 683.00 682.00 -1.00 126,700 Ok No. 353.00 348.00 -5.00 158,350 m3 348.37 346.50 -1.87 896,800 Ok Quantities should be checked to resolve underpayment Quantities should be checked to resolve underpayment 0 0 0 0 We have remeasured all quantities for IPC-7 and accordingly corrected. Comment To be followed up. Management Audit", , , , , , , , , , , , , , 
2, , , , , , , , , , , , , , , 
3, , , , , , , , , , , , , , , 
4, , , , , , , , , , , , , , , 
5, , , , , , , , , , , , , , , 
6, , , , , , , , , , , , , , , 
7, , , , , , , , , , , , , , , 
8, , , , , , , , , , , , , , , 
9,"(iv) Timeliness in Payments Following in the table below are details of submissions,", , , , , , ,-, , ,- Negatively affects, , ,The Accounting Officer should ensure that, 
