,No.,Items,Location Chainage,Unit,Drawings/ Specification s,Field checks/ measurements (averaged where necessary),Conformity
0,3) ALEX OJERA ROAD (0.68KM), , , , , , 
1,1,Kerb-Kerb road width,0+100,m,9.55,9.53,Ok
2, , ,0+200,m,9.55,9.53,Ok
3, , ,0+300,m,9.55,9.55,Ok
4, , ,0+400,m,9.55,9.56,Ok
5, , ,0+500,m,9.55,9.54,Ok
6,2,Asphalt Concrete Width,0+100,m,9.0,9.0,Ok
7, , ,0+200,m,9.0,9.0,Ok
8, , ,0+300,m,9.0,8.97,Not Ok; non-compliant with Clause 7304(b) of the Gen. Spec.
9, , ,0+400,m,9.0,9.0,Ok
10, , ,0+500,m,9.0,9.0,Ok
11,3,Asphalt Concrete Thickness,0+010;RHS;C W,mm,50.0,50.0,Ok
12, , ,0+120;RHS;C LE,mm,50.0,55.0,Ok
13, , ,0+230;LHS;C W,mm,50.0,50.0,Ok
14, , ,0+340;RHS;S H,mm,50.0,55.0,Ok
15, , ,0+450;LHS;C LE,mm,50.0,70.0,Ok
