,Acronym,Meaning
0,BAC,Bukalasa Agricultural College
1,F/Y,Financial Year
2,FTI,Fisheries Training Institute
3,GOU,Government of Uganda
4,IEC,"Information, Education and Communication"
5,INTOSAI,International Organization of Supreme Audit Institutions
6,ISA,International Standards on Auditing
7,ISPM,International Standards for Phytosanitary Measures
8,IFMS,Integrated financial management system
9,IPPS,Integrated Personnel and Payroll System
10,KPIs,Key Performance indicators
11,MAAIF,"Ministry of Agriculture, Animal Industry and Fisheries"
12,MDA,"Ministry, Department, and other Agencies"
13,MOFPED,"Ministry of Finance, Planning and Economic Development"
14,NAADS,National Agricultural Advisory Services
15,NFLC,National Farmers’ Leadership Center
16,NPPO,National Plant Protection Organization
17,PFMA,"Public Finance Management Act, 2015"
18,PPDA,Public Procurement and Disposal of Assets
19,SSES,Single Spine Agriculture Extension System
20,TAI,Treasury Accounting Instructions
21,UGX,Uganda Shillings
22,USD,United States Dollars
