,Implementing Agency,Gulu Municipal Council
0,Funding,Ministry Of Education (SFG)
1,Works contractor,Acak Ki Kwene Construction and General Supply Limited
2,Procurement Reference No.,Gulu 754/Wrks/17-18/00003
3,Date of contract award,2 nd February 2018
4,Contract signing date,6 th February 2018
5,Commencement date,"11 th February 2018 (As per signed contract, 5 days from date of signing of Contract)"
6,Actual commencement date,12 th February 2018
7,Original contract period,No information
8,Initial date of completion,June 2018
9,Revised date of completion, 
10,Actual Completion Date,8 th June 2018
11,Contract amount,"UGX 83,321,770= VAT inclusive"
12,Engineers estimate,"UGX 91,599,000="
13,Actual value of work done,"UGX 83,321,770="
