,Finding Cause,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Implication Recommendation,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,5(i),Internal doors 900x2100mm No., , , , , ,"220,000 6 8 2", , , , ,"440,000"
1,Total, , , , , , , , , , , ,"4,691,900"
2,Management Responses, , , , , , , , , , , , 
3,"environmental concerns were taken care of although social screening was low. No arm was realised to the community. If this MS provided were followed, these issues would not have arisen.", , , , , , , , , , , , 
4,Audit Comment, , , , , , , , , , , , 
5,municipality should give more clarity on this., , , , , , , , , , , , 
6,"(iv) Timeliness in Payments General Conditions of Contract require that payments shall be made the Procuring and Disposing Entity, no later than 30 days after submission and certification of a request for payment. Audit noted payments by the Municipality were as detailed below. Assessment of the payment records revealed that the Municipality invoices submitted on time as per the signed contract. Ok Ok Ok", , , , , , , , , , , , 
7,Payment Records, , , , , , , , , , , , 
8,No. Particulars, , ,Date, ,Amount requested,Date certified, ,Amount Date Paid, ,Amount,Remark, 
9, , , ,requested, ,(UGX), , ,certified, ,paid, , 
10, , , , , , , , ,(UGX), ,(UGX), , 
11,"1 IPC No.1 7 th June 2018 79,155,681 11th June 2018 74,406,341 14th June 2018 71,697,560 No delays in payment", , , , , , , , , , , , 
12,Review of Contract Supervision and Monitoring Arrangements Preparation of progress reports Municipality supervised the works. Brief supervision reports were found on file but with very little detail about progress of works. No detailed progress reports were prepared and no completion report availed to the auditors. It was therefore considered unavailable. Reluctance by the municipality to prepare project specific reports. Absence of detailed progress reports makes it difficult for the Municipality to make informed decisions regarding the The Municipality should ensure that progress reports are prepared and filed on the contract management file. Comprehensive project, , , , , , , , , , , , 
