,Finding,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Cause Implication,Unnamed: 6,Unnamed: 7,Unnamed: 8,Recommendation,Unnamed: 10
0,"(iv) Timeliness in Payments General Conditions of Contract require that payments shall be made by the Procuring and Disposing Entity, no later than 30 after submission and certification of a request for payment. Audit noted that payments by the Municipality were as detailed below. Assessment of the payment records revealed that the Municipality paid invoices submitted on time as per the signed contract. However, the contractor’s retention money has not been paid the project is still in DLP. Ok Ok Ok", , , , , , , , , , 
1,Payment Records, , , , , , , , , , 
2,No.,Date requested,Amount,Date,Amount, ,Date Paid,Amount,Remark, , 
3, , ,requested,certified,certified, , ,paid, , , 
4, , ,(UGX), ,(UGX), , ,(UGX), , , 
5,"1 2 nd March 2018 22,101,080 5 th March 2018 21,213,680 6 th March 2018 19,940,859 No delays in payment", , , , , , , , , , 
6,"2 27th March 2018 14,900,000 26 th March 2018 14,006,000 29th March 2018 14,006,000 No delays in payment", , , , , , , , , , 
7,"3 17 th April 2018 17,014,400 18 th April 2018 15,993,536 19 th April 2018 15,993,536 No delays in payment", , , , , , , , , , 
8,"4 6 th June 2018 22,000,000 11 th June 2018 15,071,768 11 th June 2018 15,071,768 No delays in payment", , , , , , , , , , 
9, , , , , , , , , , , 
10,"Review of Contract Supervision and Monitoring Arrangements Preparation of progress reports Municipality supervised the works. No detailed progress reports were prepared. However, brief supervision reports were found on file but with very little detail about progress of works. completion report was availed to the auditors. It was therefore considered unavailable. Reluctance by the municipality to prepare project specific reports. Absence of detailed progress reports makes it difficult for the Municipality to make informed decisions regarding the implementation of The Municipality should ensure that progress reports are prepared and filed on the contract management file. Comprehensive project completion reports should be prepared and filed.", , , , , , , , , , 
