,S/N,Project Category,Unnamed: 2,Items for Comparison,Units
0,1.0,USMID PROJECTS,Item 1,Precast concrete Class 30 barrier kerbs,M
1, , ,Item 2,Clearing and Grubbing,Ha
2, , ,Item 3,CRR for Road Base,M 3
3, , ,Item 4,Asphalt Concrete for Surfacing,M 3
4, , ,Item 5,"White lines, broken or unbroken",M
5,2.0,SFG,Item 1,Roofing Sheets (gauge 28),M 2
6, , ,Item 2,Internal Plaster,M 2
7, , ,Item 3,230mm walling,M 2
8, , ,Item 4,Roofing Timber 100×50mm,M
9, , ,Item 5,Reinforced Concrete,M 3
10,3.0,URF (Force Account),Item 1,600mm diameter concrete culverts,M
11, , ,Item 2,Chippings,M 3
12, , ,Item 3,Fuel,Ltr
13, , ,Item 4,Gravel,M 3
14, , ,Item 5,Cement,Bag
15,4.0,URF (Contracted),Item 1,600mm culverts,M
16, , ,Item 2,Concrete Class for drains,M 3
17, , ,Item 3,Prime Coat,Ltr
18, , ,Item 4,First Seal Coat,M 2
19, , ,Item 5,Gravel for sub-base,M 3
