,Unnamed: 0,Dev Ass.,Project,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,5,Akwata Empola Buziga,Dairy farming,"11,000,000","1,000,000","10,000,000",9%
1,6,Bumangi Youth Farmers,Dairy farming,"9,000,000",0,"9,000,000",0%
2,7,Buyindi Twezimbe Farmers,Dairy farming,"9,292,000",0,"9,292,000",0%
3,KYAMUSWA SUB COUNTY, , , , , , 
4,1,Twekembe Yth Lwanabatya,Silver fish,"5,000,000","3,500,000","1,500,000",70%
5,2,Buwazi Animal Feeds,Animal feeds pdn,"11,668,000","800,000","10,868,000",7%
6,3,Buzingo Youth Dev Orgn,Piggery,"5,000,000","2,640,000","2,360,000",53%
7,4,Buwanga Youth Group,Silverfish Project,"5,000,000","1,693,000","3,307,000",34%
8,5,Kyamuswa Youth Dev Ass.,Bakery,"10,256,000","2,410,000","7,846,000",23%
9,6,Biva mu Ntuuyo Buwazi,Dairy farming,"5,400,000","652,000","4,748,000",12%
10,7,Tukolere Wamu Kisaba,Piggery,"6,000,000","420,000","5,580,000",7%
11, ,Sub-Total, ,"48,324,000","12,115,000","36,209,000",75%
12, ,Grand Total, ,"228,779,000","45,563,000","183,216,000", 
