,vacuum aspiration sets),Unnamed: 1,aspiration,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Ultra sound scan machine (basic) for obstetrics,1.0,Used for scanning,0.0, , 
1,Penguine sucker,5.0,Used for aspiration or cleaning of mucus,0.0, , 
2,Ambubag, , , , , 
3,3. Adult,2.0,Used to provide positive pressure ventilation,1.0, , 
4,4. Neonatal,3.0,Used to provide positive pressure ventilation,0.0, , 
5,Autoclave, , , , , 
6,3. Electric,1.0,Used for sterilization,0.0, , 
7,4. Non electric,1.0,Used for sterilization,0.0, , 
8,IUD set,2.0,For incision of birth control devises,0.0, , 
9,Implant removal set,2.0,For removing in- plants,0.0, , 
10,LABORATORY DEPARTMENT, , , , , 
11,Refrigerator for reagents,1.0,Keep reagents below room temperature,0.0, , 
12,Blood bank refrigerator,1.0,Keeping blood at recommended temperature,1.0, , 
13,Microscopes,2.0,For microscopic examination of samples,1.0, , 
14,Electric centrifuges (bench top),5.0,Separation of fluids from densities,0.0, , 
15,Autoclave (in wash up),1.0,For sterilization,0.0, , 
16,Bunsen burner,1.0,For drying slides,0.0, , 
17,Colorimeter,1.0,Measuring the intensity of colour,0.0, , 
18,Haematology analyser (CBC),1.0,Complete blood count machine,0.0, , 
19,Chemistry analyser,1.0,For determination of the concentration of analyses,0.0, , 
