,ACRONYM,MEANING
0,Bn,Billion
1,ICT,Information Communication Technology
2,IESBA,International Ethics Standards Board for Accountants
3,IFMS,Integrated Financial Management System
4,INTOSAI,International Organization of Supreme Audit Institutions
5,ISSAIs,International Standards of Supreme Audit Institutions
6,KCCA,Kampala Capital City Authority
7,LGs,Local Governments
8,MDAs,"Ministries, Departments and Agencies"
9,Mn,Million
10,MoFPED,"Ministry of Finance, Planning and Economic Development"
11,NTR,Non-Tax Revenue
12,PFMA,"Public Finance Management Act, 2015"
13,PS/ST,Permanent Secretary/Secretary to Treasury
14,PPDA,Public Procurement and Disposal of Assets
15,TI,"Treasury Instructions,"
16,UGX,Uganda Shillings
