,Acronym,Meaning
0,BOD,Board of Directors
1,FY Financial year, 
2,IFRS,International financial reporting standards
3,IAS International accounting standard, 
4,IT,Information Technology
5,PPE Property Plant and Equipment’s, 
6,MOU,Memorandum of Understanding
7,UGX Uganda Shillings, 
8,URC,Uganda Railways Corporation
9,KRC,Kenya Railways Corporation
10,RVR Rift Valley Railways, 
11,PAYE,Pay as You Earn
12,NSSF,National Social Security Fund
13,PERD Act,Public Enterprises Reform and Divestiture Act
14,VAT,Value Added Tax
15,WHT Withholding tax, 
