,MONTH (A ),AMT Collected
0,July,"50,277,812"
1,august,"33,623,000"
2,September,"33,471,600"
3,October,"45,168,300"
4,November,"29,022,000"
5,December,"43,450,400"
6,January,"35,474,500"
7,February,"31,088,000"
8,march,"37,117,900"
9,April,"32,487,200"
10,may,"31,157,600"
11,June,"23,796,400"
12,TOTAL,"426,134,712"
13,MONTH (B),AMOUNT BANKED TO BOU
14,June,"92,763,000"
15,march,"84,900,000"
16,December,"42,800,000"
17,November,"60,000,000"
18,September,"5,725,000"
19,September,"107,700,000"
20,TOTAL,"393,888,000"
21,Variation ( C),"32,246,712"
