,S/No,Contract road name/Contractor,"Contract Price (UGX,M)"
0,1.0,"Package 1: Masindi(Kisanja)-Park junction, Packwach (Tangi Junction)-Paraa-Buliisa (147km)/ CCCC","804,643.23"
1,2.0,Package 3: Buhimba-Nalweyo-Bulamagi and Bulumagi-Igayaza- Kakumiro (93 Km)/ China Wu Yi Co. Ltd,"658,012.95"
2,3.0,Bulima- Kabwoya/ China Railway No 5 Engineering Group Co. Ltd,"141,941.00"
3,4.0,Kyenjojo-Kabwoya/ Shengli Engineering Construction (Group) Co Ltd of Shengli Oilfield,"214,563.00"
4,5.0,Akisim – Moroto/ China Railway No.3 Engineering Group Co. Ltd,"248,000.00"
5,6.0,Mubende-Kakumiro-Kagadi Road/CCCC,"484,887.00"
6,7.0,Masaka-Bukakata/ Arab contractors,"165,325.00"
7,8.0,FortPortal- Hima/ China Wu Yi Co. Ltd,"94,838"
8,9.0,Hima – Katunguru/ China Railway no. 3,"83,258"
9,10.0,"Design and Build of Odroo Bridge on Arua-Biliafe-Otrevu road, Ayugi Bridge on Atiak-Adjumani-Moyo-Yumbe-Manibe road, Wariki Bridge on Logiri-Bondo road, Ceri, Adidi and Opio Bridges on Pakele-Pabbo road./ Chongqing International Construction Corporation (CICO)","56,113"
10,11.0,Reconstruction of Washed Out and Failed Bridges in Northern Uganda Under Design and Build. Lot 1: Design and Build of Aji and Ora bridges including 9.2km access road/ Terrain Services Ltd,"18,222"
11,12.0,Reconstruction of Washed Out and Failed Bridges in Northern Uganda Under Design and Build. Lot 2: Design and Build of Enyau Bridge/ Terrain Services Ltd,"11,682"
12,13.0,Construction of Multi Cell Box Culvert at Opot along Amuria- Obalanga-Abim Road/ Kasese Nail and Wood in JV with Hands Engineering,"6,880"
13, ,TOTAL,"2,988,365.18"
