,Project Code,Project Name,Diverted to Code,Project Name.1,Amount Mischarged
0,265.0,Atiak-Moyo Road,1402,Rwenkunye - Apac -Lira - Acholibur road,"29,670,000"
1, , ,1555,Fortportal Hima road,"6,300,000,000"
2, , , , , 
3,267.0,Improvement of Ferry Services,1510,UNRA Retooling Project,"769,162,940"
4, , ,RM01,Road maintenance in stations,"12,407,107,385"
5, , , , , 
6,952.0,Masaka-Bukakata road,1040,Kapchorwa-Suam road (77km),"196,139,369"
7, , ,1311,Rukungiri-Kihihi- Ishaka/Kanungu,"17,273,100"
8, , , , , 
9,1035.0,Mpigi-Kabulassoke (135km),1042,Design Nyendo - Sembabule (48km),"6,538,988,043"
10, , ,1176,Hoima-Wanseko (83km),"1,364,503,271"
11, , ,1277,Kampala Northern Bypass Phase 2,"320,591,250"
12, , ,1403,Soroti - Katakwi-Moroto- Lokiutonyala,"87,166,885"
13, , ,1510,UNRA Retooling Project,"100,930,872"
14, , ,1536,Upgrading of Kitala-Gerenge Project,"185,635,710"
15, , ,RM01,Road maintenance,"108,897,303"
16, , , , , 
17,1040.0,Design Kapchorwa- Suam road (77km),952,Masaka-Bukakata road,"734,859,053"
18, , ,1034,Mukono_katosi - Nyenga (72km),"239,252,579"
19, , ,1276,Mubende Kakumiro-Kagadi,"159,041,641"
20, , ,1311,Rukungiri-Kihihi- Ishaka/Kanungu,"75,095,105"
21, , , , , 
22,1041.0,Hoima-Masindi- Kigumba (238km) Design Kyenjojo-,1312,Mbale-Bubulo-Lwakhakha,"27,319,864"
23, , ,1551,Fortportal Kyenjojo road,"1,060,228,895"
24, , ,1555,Fortportal Hima road,"218,865,813"
25, , , , , 
26,1042.0,Design Nyendo - Sembabule (48km),1035,Mpigi-Kabulassoke (135km),"15,627,000"
27, , ,RM01,Road maintenance,"35,999,999"
28, , , , , 
29,1176.0,Hoima-Wanseko,957,Design the New Nile Bridge at,"237,313,782"
