,Unnamed: 0,(83km),Unnamed: 2,Jinja,Unnamed: 4
0, , ,1180,Kampala Entebbe Express Highway,"109,840,959"
1, , ,1319,Kampala Flyover Project,"819,449,375"
2, , ,1446,Masindi-Bugungu via Murchison Falls National Park (80km),"31,593,721,521"
3, , ,1506,Project Land compensation,"24,422,953"
4, , ,RM01,Road maintenance,"3,492,398,670"
5, , , , , 
6,1274.0,Musita-Lumino-Busia (104km),265,Atiak-Moyo Road,"2,348,182,161"
7, , ,1275,Olwiyo-Gulu-Kitgum (70.3km),"63,604,164"
8, , ,1276,Mubende Kakumiro-Kagadi,"615,814,681"
9, , ,1402,Rwenkunye - Apac -Lira - Acholibur road,"772,616,330"
10, , ,RM01,Road maintenance,"1,892,051,638"
11, , , , , 
12,1275.0,Olwiyo-Gulu-Kitgum (70.3km),1176,Hoima-Wanseko (83km),"15,039,060"
13, , ,RM01,Road maintenance,"2,174,991,153"
14, , , , , 
15,1276.0,Mubende Kakumiro- Kagadi,1506,Project Land compensation,"37,037,000"
16, , ,1551,Fortportal Kyenjojo road,"842,979,794"
17, , ,RM01,Road maintenance,"25,034,036"
18, , , , , 
19,1277.0,Kampala Northern Bypass Phase 2,1278,Kampala-Jinja Expressway,"998,055,340"
20, , , , , 
21,1278.0,Kampala-Jinja Expressway,1176,Hoima-Wanseko (83km),"385,352,993"
22, , ,RM01,Road maintenance,"1,825,883,811"
23, , , , , 
24,1279.0,Seeta-Kyaliwajjala- Matugga-Wakiso- Buloba-Nsangi,1275,Olwiyo-Gulu-Kitgum (70.3km),"12,615,982,691"
25, , ,1276,Mubende Kakumiro-Kagadi,"5,384,017,309"
26, , ,RM01,Road maintenance,"747,936,694"
27, , , , , 
28,1280.0,Najjanankumbi- Busabala Road and Nambole-Namilyango- Seeta,1034,Mukono_katosi - Nyenga (72km),"5,899,867,000"
29, , ,1176,Hoima-Wanseko (83km),"7,600,133,000"
