,Unnamed: 0,Unnamed: 1,1320,Construct Selected 66 Bridges,"61,717,000"
0, , ,RM01,Road maintenance,"913,572,364"
1, , , , , 
2,1281.0,Tirinyi-Pallisa- Kumi/Kamonkoli Road,1551,Fortportal Kyenjojo road,"892,920,000"
3, , , , , 
4,1311.0,Upgrading Rukungiri- Kihihi- Ishasha/Kanungu Road,1278,Kampala-Jinja Expressway,"2,261,025,715"
5, , ,1551,Fortportal Kyenjojo road,"495,181,760"
6, , ,RM01,Road maintenance,"90,360,117"
7, , , , , 
8,1312.0,Upgrading Mbale- Bubulo-Lwakhakha Road,1311,Rukungiri-Kihihi- Ishaka/Kanungu,"136,659,750"
9, , , , , 
10,1313.0,North Eastern Road- Corridor Asset Management Project,1276,Mubende Kakumiro-Kagadi,"383,662,157"
11, , ,1278,Kampala-Jinja Expressway,"175,113,748"
12, , , , , 
13,1319.0,Kampala Flyover,1034,Mukono_katosi - Nyenga (72km),"1,941,545,149"
14, , ,1278,Kampala-Jinja Expressway,"5,626,939,772"
15, , ,1311,Rukungiri-Kihihi- Ishaka/Kanungu,"1,210,521,919"
16, , ,1312,Mbale-Bubulo-Lwakhakha,"1,722,707,270"
17, , ,1320,Construct Selected 66 Bridges,"5,104,169,504"
18, , ,1551,Fortportal Kyenjojo road,"602,454,272"
19, , , , , 
20,1322.0,Upgrading of Muyembe-Nakapiripirit (92 km),1278,Kampala-Jinja Expressway,"17,567,933"
21, , ,1403,Soroti - Katakwi-Moroto- Lokiutonyala,"4,676,968,121"
22, , ,1551,Fortportal Kyenjojo road,"500,000,000"
23, , ,1555,Fortportal Hima road,"3,969,644,362"
24, , ,RM01,Road maintenance,"353,387,517"
25, , , , , 
26,1402.0,Rwenkunye- Apac- Lira-Acholibur road,1278,Kampala-Jinja Expressway,"218,282,106"
27, , ,1403,Soroti - Katakwi-Moroto- Lokiutonyala,"13,500,000,000"
