,Unnamed: 0,Unnamed: 1,RM01,Road maintenance,"900,000,000"
0, , , , , 
1,1403.0,Soroti-Katakwi- Moroto-Lokitonyala road,952,Masaka-Bukakata road,"14,395,000"
2, , ,1034,Mukono_katosi - Nyenga (72km),"5,687,429,181"
3, , ,1056,Transport Corridor Project,"1,966,805,152"
4, , ,1311,Rukungiri-Kihihi- Ishaka/Kanungu,"4,505,231,137"
5, , ,1551,Fortportal Kyenjojo road,"778,641,780"
6, , ,1552,Hoima-Katunguru road,"3,546,102,760"
7, , , , , 
8,1404.0,Kibuye- Busega- Mpigi,1278,Kampala-Jinja Expressway,"309,152,550"
9, , , , , 
10,1490.0,Luwero- Butalangu,1552,Hoima-Katunguru road,"72,100,896"
11, , ,1555,Fortportal Hima road,"536,771,008"
12, , ,RM01,Road maintenance,"291,128,096"
13, , , , , 
14,1503.0,Karugutu-Ntoroko Road,RM01,Road maintenance,"1,260,000,000"
15, , , , , 
16,1506.0,Land Acquisition,1278,Kampala-Jinja Expressway,"76,240,336"
17, , , , , 
18,1510.0,UNRA Retooling Project,1034,Mukono_katosi - Nyenga (72km),"165,904,909"
19, , ,RM01,Road maintenance,"14,516,543,153"
20, , , , , 
21,1536.0,Upgrading of Kitala- Gerenge Road,267,Improvement of Ferry Services,"691,305,580"
22, , ,1278,Kampala-Jinja Expressway,"320,159,307"
23, , , , , 
24,1537.0,Upgrading of Kaya-Yei Road,1275,Olwiyo-Gulu-Kitgum (70.3km),"8,425,266,754"
25, , ,1506,Project Land compensation,"1,341,608,465"
26, , ,1551,Fortportal Kyenjojo road,"8,212,032,916"
27, , ,RM01,Road maintenance,"90,122,265"
28, , , , , 
29,1538.0,Development of Nakaseke-Ssingo- Kituma road,1034,Mukono_katosi - Nyenga (72km),"4,041,998,602"
30, , ,1276,Mubende Kakumiro-Kagadi,"2,246,807,088"
