,Unnamed: 0,Unnamed: 1,1553,Ishaka-Rugazi-Katunguru road,"2,730,864,310"
0, , ,RM01,Road maintenance,"144,685,945"
1, , , , , 
2,1543.0,Kihihi-Butogota- Bohoma Road,265,Atiak-Moyo Road,"16,817,000"
3, , ,1040,Kapchorwa-Suam road (77km),"63,382,000"
4, , ,1041,Kigumba – Bulima-Masindi – Hoima – Kabwoya road (238km),"71,732,000"
5, , ,1176,Hoima-Wanseko (83km),"54,428,530"
6, , ,1274,Musita-Lumino-Busia (104km),"27,707,000"
7, , ,1281,Tirinyi-Pallisa-Kumi/Kamonkoli,"58,870,000"
8, , ,1311,Rukungiri-Kihihi- Ishaka/Kanungu,"92,760,000"
9, , ,1312,Mbale-Bubulo-Lwakhakha,"28,355,000"
10, , ,1322,Muyembe-Nakapiripirit,"38,200,000"
11, , ,1403,Soroti - Katakwi-Moroto- Lokiutonyala,"22,524,005,000"
12, , ,1506,Project Land compensation,"150,978,208"
13, , ,1510,UNRA Retooling Project,"31,155,000"
14, , ,1553,Ishaka-Rugazi-Katunguru road,"30,560,000"
15, , ,RM01,Road maintenance,"2,351,330,151"
16, , , , , 
17,1544.0,Kisoro-Lake Bunyonyi Road,RM01,Road maintenance,"900,000,000"
18, , , , , 
19,1545.0,Kisoro-Mgahinga National Park Headquarters Road,1277,Kampala Northern Bypass Phase 2,"1,800,000,000"
20, , , , , 
21,1546.0,Kisoro-Nkuringo- Rubugiri-Muko Road,1040,Kapchorwa-Suam road (77km),"433,134,746"
22, , ,1277,Kampala Northern Bypass Phase 2,"1,029,270,645"
23, , ,1278,Kampala-Jinja Expressway,"123,299,611"
24, , ,RM01,Road maintenance,"434,783,355"
25, , , , , 
26,1547.0,Kebisoni-Kisizi- Muhanga road,1552,Hoima-Katunguru road,"19,746,397,899"
27, , ,1555,Fortportal Hima road,"1,673,000,000"
28, , ,RM01,Road maintenance,"1,957,456,884"
29, , , , , 
