,Project Name,Completion of Pece division office block
0,Project Reference Number,Gulu754/wrks/2018-2019/00005
1,Client,Gulu Municipal Council
2,Funding,DDEG
3,Contract Supervisor,Assistant Municipal Engineer
4,Works contractor,DAVICO GENERAL SUPPLIES & CONSTRUCTION U LTD
5,Date of contract award,05/02/2019
6,Contract sign date,05/02/2019
7,Commencement date,15/02/2019
8,Contract duration,4 months
9,Expected Completion date,30/06/2019
10,Contract Sum,"UGX 59,030,475 (Vat Inclusive)"
11,% progress reported,100% Complete
