,GoU,Government of Uganda
0,IDC,Industrial Development Company
1,IA,Implementation Agreement
2,IAA,Implementation Agreement as Amended
3,InfraCo,Infrastructure Management Company
4,KIP,Kalangala Infrastructure Services Project
5,KIS,Kalangala Infrastructure Services Limited
6,KTC,Kalangala Town Council
7,MoFPED,Ministry of Finance Planning and Economic Development
8,MWE,Ministry of Water and Environment
9,MoWT,Ministry of Works and Transport
10,UDC,Uganda Development Company
11,UGX,Uganda Shillings
12,UNRA,Uganda National Roads Authority
