,GoU,Government of Uganda
0,IESBA,International Ethics Standards Board for Accountants
1,INTOSAI,International Organisation of Supreme Audit Institutions
2,ISSAIs,International Standards of Supreme Audit Institutions
3,LGFAM,Local Government Financial and Accounting Manual
4,MoFPED,"Ministry of Finance, Planning, and Economic Development"
5,MoGLSD,"Ministry of Gender, Labour and Social Development"
6,MoPS,Ministry of Public Service
7,NUSAF,Northern Uganda Social Action Fund
8,PFMA,Public Finance Management Act
9,PFMA,Public Finance Management Act
10,RTI,Rural Transport Infrastructure
11,TSA,Treasury Single Account
12,TSSA,Treasury Single Sub Account
13,UgIFT,Uganda Intergovernmental Fiscal Transfers Program for Results
14,UGX,Uganda Shillings
15,URF,Uganda Road Fund
16,UWEP,Uganda Women Enterprise Programme
17,YLP,Youth Livelihood Programme
18,LGFAR,Local Government Financial and Accounting Regulations
