,10,599,Lwengo,Yes,30/09/2019,19/11/2019,50
0,11,605,KIBUKU,Yes,30/09/2019,14/11/2019,45
1,12,589,Bulambuli DLG,Yes,30/09/2019,14/11/2019,45
2,13,553,Soroti DLG,Yes,30/09/2019,12/11/2019,43
3,14,532,Luwero DLG,Yes,30/09/2019,07/11/2019,38
4,15,581,Amudat DLG,Yes,30/09/2019,07/11/2019,38
5,16,751,Arua MC,Yes,30/09/2019,31/10/2019,31
6,17,578,Bukedea DLG,Yes,30/09/2019,30/10/2020,30
7,18,564,Amolatar DLG,Yes,30/09/2019,30/10/2019,30
8,19,559,kaabong DLG,Yes,30/09/2019,29/10/2019,29
9,20,575,Dokolo DLG,Yes,30/09/2019,25/10/2019,25
10,21,593,Luuka DLG,Yes,30/09/2019,23/10/2019,23
11,22,510,Iganga DLG,Yes,30/09/2019,16/10/2019,16
12,23,792,Njeru MC,Yes,30/09/2019,15/10/2019,15
13,24,560,Isingiro DLG,Yes,30/09/2019,10/10/2019,10
14,25,762,Moroto DLG,Yes,30/09/2019,04/10/2019,4
15,26,547,Pader DLG,Yes,30/09/2019,04/10/2019,4
16,27,519,Kanungu DLG,Yes,30/09/2019,02/10/2019,2
17,28,557,Butaleja DA,Yes,30/09/2019,01/10/2019,1
18,29,617,NAMISIDWA,Yes,30/09/2019,16/11/2019,47
19, , ,LGs that did not submit, , , , 
20,S.No,Vote No,Vote Name,Were estimates submitted?,Expected Date of Submission (dd/mm/yyyy),Actual Date of Submission (dd/mm/yyyy),Difference in days
21,1,636,Terego DLG,No,30/09/2019,Not submitted, 
22,2,785,Koboko MC,No,30/09/2019,Not submitted, 
23,3,633,Madi-Okollo DLG,No,30/09/2019,Not submitted, 
24,4,794,Nebbi MC,No,30/09/2019,Not submitted, 
25,5,539,Moyo DLG,No,30/09/2019,Not submitted, 
26,6,545,Nebbi DLG,No,30/09/2019,Not submitted, 
27,7,563,Koboko DLG,No,30/09/2019,Not submitted, 
28,8,518,Kamwenge DLG,No,30/09/2019,Not submitted, 
29,9,513,Kabarole DLG,No,30/09/2019,Not submitted, 
30,10,595,Ntoroko DLG,No,30/09/2019,Not submitted, 
31,11,521,Kasese DLG,No,30/09/2019,Not submitted, 
32,12,753,Fort Portal MC,No,30/09/2019,Not submitted, 
