,13,505,Bundibugyo DLG,No,30/09/2019,Not submitted,N/A
0,14,530,Kyenjojo DLG,No,30/09/2019,Not submitted, 
1,15,576,Buliisa DLG,No,30/09/2019,Not submitted, 
2,16,509,Hoima DLG,No,30/09/2019,Not submitted, 
3,17,771,Hoima MC,No,30/09/2019,Not submitted, 
4,18,613,Kagadi DLG,No,30/09/2019,Not submitted, 
5,19,614,Kakumiro DLG,No,30/09/2019,Not submitted, 
6,20,524,Kibaale DLG,No,30/09/2019,Not submitted, 
7,21,525,Kiboga DLG,No,30/09/2019,Not submitted, 
8,22,592,Kiryandongo DLG,No,30/09/2019,Not submitted, 
9,23,534,Masindi DLG,No,30/09/2019,Not submitted, 
10,24,774,Masindi MC,No,30/09/2019,Not submitted, 
11,25,504,Bugiri DLG,No,30/09/2019,Not submitted, 
12,26,795,Bugiri MC,No,30/09/2019,Not submitted, 
13,27,624,Bugweri DLG,No,30/09/2019,Not submitted, 
14,28,583,Buyende DLG,No,30/09/2019,Not submitted, 
15,29,511,Jinja DLG,No,30/09/2019,Not submitted, 
16,30,755,Jinja MC,No,30/09/2019,Not submitted, 
17,31,561,Kaliro DLG,No,30/09/2019,Not submitted, 
18,32,517,Kamuli DLG,No,30/09/2019,Not submitted, 
19,33,789,Kamuli MC,No,30/09/2019,Not submitted, 
20,34,788,Lugazi MC,No,30/09/2019,Not submitted, 
21,35,535,Mayuge DLG,No,30/09/2019,Not submitted, 
22,36,594,Namayingo DLG,No,30/09/2019,Not submitted, 
23,37,574,Namutumba DLG,No,30/09/2019,Not submitted, 
24,38,582,Buikwe DLG,No,30/09/2019,Not submitted, 
25,39,568,Mityana,No,30/09/2019,Not submitted, 
26,40,752,Entebbe MC,No,30/09/2019,Not submitted, 
27,41,781,Kira MC,No,30/09/2019,Not submitted, 
28,42,772,Mukono MC,No,30/09/2019,Not submitted, 
29,43,779,Nansana MC,No,30/09/2019,Not submitted, 
30,44,780,Makindye Sabagabo MC,No,30/09/2019,Not submitted, 
31,45,544,Nakasongola DLG,No,30/09/2019,Not submitted, 
32,46,580,Lyantonde DLG,No,30/09/2019,Not submitted, 
33,47,621,Kyotera DLG,No,30/09/2019,Not submitted, 
