,48,625,Kassanda District,No,30/09/2019,Not submitted,N/A
0,49,579,Bududa DLG,No,30/09/2019,Not submitted, 
1,50,566,Manafwa DLG,No,30/09/2019,Not submitted, 
2,51,565,Amuria DLG,No,30/09/2019,Not submitted, 
3,52,553,Soroti DLG,No,30/09/2019,Not submitted, 
4,53,607,Kole DLG,No,30/09/2019,Not submitted, 
5,54,610,Buhweju DLG,No,30/09/2019,Not submitted, 
6,55,601,Mitooma DLG,No,30/09/2019,Not submitted, 
7,56,558,Ibanda DLG,No,30/09/2019,Not submitted, 
8,57,526,Kisoro DLG,No,30/09/2019,Not submitted, 
9,58,631,Rwampara DLG,No,30/09/2019,Not submitted, 
10,59,778,Rukungiri DLG,No,30/09/2019,Not submitted, 
11,60,620,Rukiga DLG,No,30/09/2019,Not submitted, 
12,61,604,Napak DLG,No,30/09/2019,Not submitted, 
13,62,623,Nabilatuk DLG,No,30/09/2019,Not submitted, 
14,63,573,Abim DLG,No,30/09/2019,Not submitted, 
15,64,543,Nakapiripiriti DLG,No,30/09/2019,Not submitted, 
16,65,528,Kotido DLG,No,30/09/2019,Not submitted, 
17,66,762,Moroto mc,No,30/09/2019,Not submitted, 
18,67,522,Katakwi DLG,No,30/09/2019,Not submitted, 
19,68,635,Kalaki DLG,No,30/09/2019,Not submitted, 
20,69,529,Kumi DLG,No,30/09/2019,Not submitted, 
21,70,859,Soroti MC,No,30/09/2019,Not submitted, 
22,71,514,Kaberamaido,No,30/09/2019,Not submitted, 
23,72,627,Kapelebyong,No,30/09/2019,Not submitted, 
24,73,611,Agago DLG,No,30/09/2019,Not submitted, 
25,74,588,Alebtong DLG,No,30/09/2019,Not submitted, 
26,75,570,Amuru DLG,No,30/09/2019,Not submitted, 
27,76,572,Oyam DLG,No,30/09/2019,Not submitted, 
28,77,758,Lira MC,No,30/09/2019,Not submitted, 
29,78,531,Lira DLG,No,30/09/2019,Not submitted, 
30,79,607,Kole DLG,No,30/09/2019,Not submitted, 
31,80,754,Gulu MC,No,30/09/2019,Not submitted, 
32,81,501,Arua DLG,No,30/09/2019,Not submitted, 
