,14,788,Lugazi MC,240,"1,360,106"
0,15.0,593,Luuka DLG,748.0,"8,347,743"
1,16.0,535,Mayuge DLG,71.0,"1,257,209"
2,17.0,594,Namayingo DLG,414.0,"4,684,855"
3,18.0,792,Njeru MC,322.0,"2,837,275"
4,19.0,582,Buikwe DLG,24.0,"20,560,692"
5,20.0,781,Kira MC,36.0,"1,513,296"
6,21.0,590,Buvuma DLG,43.0,"1,667,474"
7,22.0,515,Kalangala DLG, ,"1,281,833"
8,23.0,621,Kyotera DLG,15.0,"834,367"
9,24.0,507,BUSIA DLG,89.0,"3,122,480"
10,25.0,579,BuduDLG DLG,56.0,"1,770,196"
11,26.0,566,Manafwa DLG,140.0,"3,920,596"
12,27.0,610,Buhweju DLG,57.0,"72,081,318"
13,28.0,630,Kazo DLG,20.0,"269,392"
14,29.0,560,Isingiro DLG,12.0,"326,866"
15,30.0,519,Kanungu DLG,156.0,"29,285,524"
16,31.0,761,Mbarara MC, ,"3,201,482"
17,32.0,616,RubanDLG DLG,61.0,"978,860"
18,33.0,604,Napak DLG,4.0,"263,929"
19,34.0,528,Kotido DLG,4.0,"164,625"
20, ,Total, , ,"178,074,660"
