,S/N,Vote,Vote Name,No. of Staff with delays,Range of delay in months,No. of staff not accessed by year end
0,1.0,587,Zombo DLG,13,1-2 Months,0
1,2.0,633,Madi-Okollo DLG,32,1-2 Months,0
2,3.0,563,Koboko DLG,14,1-6 Months,0
3,4.0,518,Kamwenge DLG,11,1-2 Months,0
4,5.0,513,Kabarole DLG,23,1-6 Months,0
5,6.0,595,Ntoroko DLG,21,1-6 Months,0
6,7.0,584,Kyegegwa DLG,37,1-6 Months,0
7,8.0,521,Kasese DLG,4,1-3 Months,0
8,9.0,753,Fort Portal MC,7,1-5 months,3
9,10.0,505,Bundibugyo DLG,60,1-4 months,0
10,11.0,530,Kyenjojo DLG,10,1-4 months,0
11,12.0,576,Buliisa DLG,12,1-6 Months,0
12,13.0,509,Hoima DLG,10,1-3 Months,0
13,14.0,771,Hoima MC,7,1-3 Months,0
14,15.0,613,Kagadi DLG,8,1-7 Months,0
15,16.0,614,Kakumiro DLG,32,1-2 Months,0
16,17.0,524,Kibaale DLG,48,1-7 Months,36
17,18.0,525,Kiboga DLG,13,1-3 Months,0
18,19.0,628,Kikuube DLG,5,2-6 Months,3
19,20.0,592,Kiryandongo DLG,7,2-3 Months,0
20,21.0,597,Kyankwanzi DLG,7,1 Months,0
21,22.0,534,Masindi DLG,5,1-5 Months,0
22,23.0,774,Masindi MC,9,1-6 Months,0
23,24.0,504,Bugiri DLG,68,1 - 2 Months,0
24,25.0,795,Bugiri MC,6,1 - 5 Months,5
25,26.0,624,Bugweri DLG,22,0 - 1 Months,0
26,27.0,583,Buyende DLG,0, ,29
27,28.0,510,Iganga DLG,0, ,27
28,29.0,511,Jinja DLG,15,1 - 6 Months,3
29,30.0,755,Jinja MC,8,2 - 9 Months,0
30,31.0,561,Kaliro DLG,51,1 - 3 Months,0
31,32.0,517,Kamuli DLG,25,1 - 2 Months,0
32,33.0,789,Kamuli MC,25,1 - 6 Months,1
33,34.0,788,Lugazi MC,14,0 - 1 Months,4
34,35.0,593,Luuka DLG,41,0 - 1 Months,0
35,36.0,535,Mayuge DLG,109,1 - 3 Months,9
36,37.0,574,Namutumba DLG,91,1 - 4 Months,41
37,38.0,582,Buikwe DLG,10,1 to 6 Months,0
38,39.0,568,Mityana DLG,30,1 to 10 Months,0
39,40.0,781,Kira MC,3,1 to 3 Months,0
40,41.0,532,Luwero DLG,38,1 to 6 Months,0
