,SN,Vote No.,Vote Name,Amount (UGX)
0,1.0,564,Amolatar DLG,"30,489,944"
1,2.0,859,Soroti MC,"16,952,389"
2,3.0,553,Soroti DLG,"23,558,053"
3,4.0,514,Kaberamaido,"27,472,268"
4,5.0,578,Bukedea DLG,"37,000,000"
5,6.0,537,Mbarara DLG,"601,669,910"
6,7.0,609,Sheema DLG,"5,912,486"
7,8.0,579,BuduDLG DLG,"53,269,453"
8,9.0,566,Manafwa DLG,"476,473,064"
9,10.0,507,BUSIA DLG,"6,219,714"
10,11.0,580,Lyantonde DLG,"5,870,000"
11,12.0,515,KALANGALA DLG,"357,586,292"
12,13.0,621,Kyotera DLG,"4,876,514"
13,14.0,582,Buikwe DLG,"55,352,971"
14,15.0,781,Kira MC,"20,821,532"
15,16.0,532,Luwero DLG,"8,575,441"
16,17.0,590,Buvuma DLG,"31,344,359"
17,18.0,780,Makindye Sabagabo MC,"304,575,692"
18,19.0,624,Bugweri DLG,"59,548,625"
19,20.0,583,Buyende DLG,"71,513,039"
20,21.0,789,Kamuli MC,"61,871,159"
21,22.0,593,Luuka DLG,"40,695,963"
22,23.0,574,Namutumba DLG,"41,963,816"
23,24.0,509,Hoima DLG,"180,754,659"
24,25.0,771,Hoima MC,"45,235,346"
25,26.0,613,Kagadi DLG,"18,273,030"
26,27.0,524,Kibaale DLG,"24,910,982"
27,28.0,597,Kyankwanzi DLG,"50,174,102"
28,29.0,534,Masindi DLG,"9,280,027"
29,30.0,774,Masindi MC,"195,443,591"
30,31.0,518,Kamwenge DLG,"446,776,818"
31,32.0,513,Kabarole DLG,"275,847,736"
32,33.0,753,Fort Portal MC,"5,244,093"
33,34.0,502,Apac DLG,"413,137,977"
34, ,Total, ,"4,008,691,045"
