,S/N.,Vote Number,Vote Name,Number months with delayed remittance,Average Delay (in DLGys),No. of Months with non- remittance
0,1,564,Amolatar DLG,4,38.0,0.0
1,2,635,Kalaki DLG,7,20.0,0.0
2,3,529,Kumi DLG,4,5.0,0.0
3,4,553,Soroti DLG,11,23.0,0.0
4,5,575,Dokolo DLG,9,3.0, 
5,6,514,Kaberamaido,11,15.0,1.0
6,7,627,Kapelebyong,2,3.0,0.0
7,8,581,AmuDLGt DLG,3,22.0, 
8,9,797,Kotido Mc,5,13.0, 
9,10,604,Napak DLG,6,35.0, 
10,11,762,Moroto DLG,4,5.0, 
11,12,623,Nabilatuk DLG,6,46.0, 
12,13,573,Abim DLG,1,3.0, 
13,14,543,Nakapiripiriti DLG,1,1.0, 
14,15,528,Kotido DLG,4,8.0, 
15,16,762,Moroto mc,6,2.0, 
16,17,559,Kaabong DLG,1,28.0, 
17,18,562,Kiruhura DLG,5,10.0,0.0
18,19,506,Bushenyi DLG,5,10.0,0.0
19,20,558,IbanDLG DLG,6,17.0,0.0
20,21,512,Kabale DLG,5,25.0,0.0
21,22,519,Kanungu DLG,11,11.0,0.0
22,23,526,Kisoro DLG,6,14.0,0.0
23,24,761,Mbarara MC,12,13.0,0.0
24,25,537,Mbarara DLG,11,20.0,0.0
25,26,631,Rwampara DLG,6,21.0, 
26,27,778,Rukungiri DLG,11,7.0,0.0
27,28,620,Rukiga DLG,11,6.5,0.0
28,29,610,Buhweju DLG,6,41.0,0.0
29,30,630,Kazo DLG,7,7.0,0.0
30,31,546,Ntungamo DLG,8,12.0,0.0
31,32,579,BuduDLG DLG,10,12.0,0.0
32,33,566,Manafwa DLG,6,5.57, 
33,34,507,BUSIA DLG,3,14.0, 
34,35,605,KIBUKU DLG,10,5.0, 
35,36,617,NAMISIDWA DLG,8,7.0, 
