,37,580,Lyantonde DLG,12,15.8,0
0,38,551,Sembabule DLG,8,3.7,4
1,39,515,Kalangala DLG,6,14.0,0
2,40,600,Bukomansimbi DLG,3,1.8,0
3,41,621,Kyotera DLG,8,11.0,0
4,42,599,Lwengo,2,20.0, 
5,43,582,Buikwe DLG,5,13.2,0
6,44,568,Mityana DLG,3,4.0,0
7,45,532,Luwero DLG,5,11.0,0
8,46,772,Mukono MC,1,4.0,0
9,47,779,Nansana MC,8,10.0,0
10,48,590,Buvuma DLG,8,5.0,0
11,49,780,Makindye Sabagabo MC,10,5.9,0
12,50,544,Nakasongola DLG,4,5.0,0
13,51,504,Bugiri DLG,1,25.0,Nil
14,52,795,Bugiri MC,3,22.0,Nil
15,53,624,Bugweri DLG,6,28.0,3
16,54,583,Buyende DLG,10,34.0,2
17,55,510,Iganga DLG,9,8.0,Nil
18,56,517,Kamuli DLG,4,34.0,1
19,57,789,Kamuli MC,6,19.0,0
20,58,593,Luuka DLG,8,24.0,1
21,59,535,Mayuge DLG,12,18.0,0
22,60,574,Namutumba DLG,3,3.0,Nil
23,61,771,Hoima MC,4,23.0,0
24,62,613,Kagadi DLG,7,3.0,0
25,63,614,Kakumiro DLG,10,3.0,0
26,64,524,Kibaale DLG,8,14.0,0
27,65,525,Kiboga DLG,2,21.0,0
28,66,592,Kiryandongo DLG,10,13.0, 
29,67,534,Masindi DLG,11,9.0,0
30,68,539,Moyo DLG,12,8.5,0
31,69,629,Obongi DLG,8,55.0,0
32,70,751,Arua MC,5,8.0,0
33,71,563,Koboko DLG,6,10.0,0
34,72,501,Adjumani DLG,1,2.0,0
35,73,556,Yumbe DLG,5,35.0, 
36,74,785,Koboko MC,3,21.0, 
37,75,633,Madi-Okollo DLG,3,35.0, 
