,S/N,Vote Number,Vote Name,Number of months with delayed remittance,Average Delay (in DLGys),No. of Months with non-remittance
0,1.0,556,Yumbe DLG,1,3.0, 
1,2.0,785,Koboko MC,1,35.0, 
2,3.0,794,Nebbi MC,1,37.0, 
3,4.0,539,Moyo DLG,1,10.0,0
4,5.0,629,Obongi DLG,2,10.5,0
5,6.0,563,Koboko DLG,2,17.0,0
6,7.0,753,Fort Portal Mc,3,12.0,0
7,8.0,771,Hoima MC,4,12.0,0
8,9.0,613,Kagadi DLG,1,9.0,0
9,10.0,524,Kibaale DLG,3,6.0,0
10,11.0,534,Masindi DLG,2,9.0,0
11,12.0,624,Bugweri DLG,3,44.0,1
12,13.0,583,Buyende DLG,8,12.0,Nil
13,14.0,510,Iganga DLG,1,14.0,Nil
14,15.0,755,Jinja MC,1,9.0,Nil
15,16.0,517,Kamuli DLG,1,10.0,0
16,17.0,789,Kamuli MC,4,7.0,0
17,18.0,593,Luuka DLG,4,20.0,Nil
18,19.0,535,Mayuge DLG,6,20.0,0
19,20.0,582,Buikwe DLG,1,1.6,0
20,21.0,580,Lyantonde DLG,5,8.8,0
21,22.0,600,Bukomansimbi DLG,1,30.0,1
22,23.0,605,Kibuku DLG,1,16.0,0
23,24.0,617,Namisidwa DLG,4,3.0,0
