,25.,610,Buhweju DLG,11,8,Nil
0,26.0,546,Ntungamo DLG,4,9.0,Nil
1,27.0,512,Kabale DLG,3,10.0,Nil
2,28.0,519,Kanungu DLG,6,37.0,Nil
3,29.0,526,Kisoro DLG,3,17.0,Nil
4,30.0,761,Mbarara MC,8,18.0,Nil
5,31.0,537,Mbarara DLG,2,7.0,0
6,32.0,631,Rwampara DLG,2,3.0,Nil
7,33.0,778,Rukungiri DLG,2,3.0,Nil
8,34.0,581,AmuDLGt DLG,2,1.0, 
9,35.0,604,Napak DLG,1,4.0, 
10,36.0,623,Nabilatuk DLG,3,25.0, 
11,37.0,573,Abim DLG,3,9.0, 
12,38.0,528,Kotido DLG,3,6.0, 
13,39.0,559,Kaabong DLG,1,2.0, 
14,40.0,578,Bukedea DLG,2,4.0,0
15,41.0,522,Katakwi DLG,7,12.0,4
16,42.0,564,Amolatar DLG,7,28.0,0
17,43.0,635,Kalaki DLG,5,2.0,1
18,44.0,529,Kumi DLG,2,4.0,0
19,45.0,859,Soroti MC,3,8.0,0
20,46.0,553,Soroti DLG,3,17.0,0
21,47.0,575,Dokolo DLG,2,45.0,0
22,48.0,514,Kaberamaido,9,3.0,0
23, ,Total, ,155, ,7
