,S/N,Vote No,Vote name,"Did the entity prepare Monthly wage, pension and gratuity performance analysis?",Did the entity submit quarterly returns to MoPS?
0,1,556,Yumbe DLG,No,No
1,2,539,Moyo DLG,No,No
2,3,518,Kamwenge DLG,No,No
3,4,513,Kabarole DLG,No,No
4,5,595,Ntoroko DLG,No,No
5,6,584,Kyegegwa DLG,No,No
6,7,521,Kasese DLG,No,No
7,8,753,Fort Portal MC,No,No
8,9,505,Bundibugyo DLG,No,No
9,10,530,Kyenjojo DLG,No,No
10,11,576,Buliisa DLG,No,No
11,12,509,Hoima DLG,No,No
12,13,771,Hoima MC,No,No
13,14,613,Kagadi DLG,No,No
14,15,614,Kakumiro DLG,No,No
15,16,524,Kibaale DLG,No,No
