,17,525,Kiboga DLG,No,No.1
0,18,628,Kikuube DLG,No,No
1,19,592,Kiryandongo DLG,No,No
2,20,597,Kyankwanzi DLG,No,No
3,21,534,Masindi DLG,No,No
4,22,774,Masindi MC,No,No
5,23,504,Bugiri DLG,No,No
6,24,795,Bugiri MC,No,No
7,25,624,Bugweri DLG,No,No
8,26,583,Buyende DLG,No,No
9,27,773,Iganga MC,No,No
10,28,511,Jinja DLG,No,No
11,29,561,Kaliro DLG,No,No
12,30,517,Kamuli DLG,No,No
13,31,593,Luuka DLG,No,No
14,32,535,Mayuge DLG,No,No
15,33,594,Namayingo DLG,No,No
16,34,792,Njeru MC,No,No
17,35,582,Buikwe DLG,No,No
18,36,568,Mityana DLG,No,No
19,37,752,Entebbe MC,No,No
20,38,781,Kira MC,No,No
21,39,772,Mukono MC,No,No
22,40,772,Nansana MC,No,No
23,41,590,Buvuma DLG,No,No
24,42,544,Nakasongola DLG,No,No
25,43,580,Lyantonde DLG,No,No
26,44,600,Bukomansimbi DA,No,No
27,45,621,Kyotera DA,No,No
28,46,625,Kassanda DLG,No,No
29,47,605,KIBUKU DLG,No,No
30,48,617,Namisindwa DLG,No,No
31,49,579,Bududa DLG,No,No
32,50,566,Manafwa DLG,No,No
33,51,557,Butaleja DA,No,No
34,52,554,Tororo DLG,No,No
35,53,760,Mbale City,No,No
36,54,610,Buhweju DLG,No,No
37,55,630,Kazo DLG,No,No
38,56,601,Mitooma DLG,No,No
39,57,546,Ntungamo DLG,No,No
40,58,562,Kiruhura DLG,No,No
41,59,558,Ibanda DLG,No,No
42,60,560,Isingiro DLG,No,No
43,61,512,Kabale DLG,No,No
44,62,519,Kanungu DLG,No,No
45,63,526,Kisoro DLG,No,No
46,64,761,Mbarara City,No,No
47,65,537,Mbarara DLG,No,No
48,66,609,Sheema DLG,No,No
49,67,631,Rwampara DLG,No,No
50,68,620,Rukiga DLG,No,No
