,No,Observation,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Recommendation
0,2.1 2.1.1,"Receipts During the year under received UGX.165,530,299 towards COVID – 19 pandemic responses. Table below refers. review, the District Amount (UGX) showing funds received from treasury and donors No. 1 1.1 1.2 2 2.1 165,530,299 0 165,530,299 0 Details/Source Receipts from Treasury Supplementary budget allocation Contingencies fund allocation Sub Total Donations Receipts from International donor Organizations -Cash Receipts from International donor Organizations -Non-cash Receipts from Local donations -Cash Receipts from Local donations-Non Cash Sub Total Total Receipts 0 Not monetized 0 165,530,299 2.3 2.4 2.2 0 Source: OAG analysis Banking of all cash receipts I observed that the District did not receive cash donations thus there was no non-compliance with Paragraph 10.19.2 of the TIs, 2017. Receipts and utilization of funds a) Table b)", , , , , , , , , , , 
1, , , , , , , , , , , , , 
2, , , , , , , , , , , , , 
3, , , , , , , , , , , , , 
4, , , , , , , , , , , , , 
5, , , , , , , , , , , , , 
6, , , , , , , , , , , , , 
7, , , , , , , , , , , , , 
8, , , , , , , , , , , , , 
9, , , , , , , , , , , , , 
10, , , , , , , , , , , , , 
11, , , , , , , , , , , , , 
12, , , , , , , , , , , , , 
13, , , , , , , , , , , , , 
14,1.1,"Absorption and utilization of funds Out of the total receipts of UGX 165,530,299 the entity absorbed UGX 165,530,299 representing absorption level of 100% as shown in the table below: Table showing absorption of funds received No. Item Amount received (UGX) Amount spent (UGX) Variance Percent age (%) absorb ed Covid-19 165,530,299 165,530,299 0 100% Funds 1 Total 165,530,299 165,530,299 0 100% Source: OAG analysis", , , , , , , , , , ,commended the Accounting for ensuring that all funds are absorbed. officer I
15, , , , , , , , , , , , , 
16, , , , , , , , , , , , , 
17, , , , , , , , , , , , , 
18, , , , , , , , , , , , , 
19,1.2,Preparation and approval of work plans Paragraph 23 of the Budget Execution Circular 2019/20 requires that all supplementary budget requests must be supported by a realistic work plan and budget. I noted that the entity prepared and approved work plans for the use of funds received., , , , , , , , , , ,commended Accounting adhering to the guidelines. Officer the for I
20,1.3,"Accountability of funds Paragraph 10.10.1 of the Treasury Instructions, 2017 requires that all payments must be adequately supported with sufficient details to enable them to be checked without reference to other documents I reviewed expenditure records availed and noted the following;  All funds were accounted for at the time of completing the audit", , , , , , , , , , ,commended the Accounting officer for ensuring the all the funds were accounted for. I
