,S/N,Vehicle Registrat ion No.,Date of Acquisi tion,Cost of Vehicle,Type of Vehicle,Benefiting Category,Physical Location
0,1.0,UBE644Q,2019.0,DONATION,TOYOTA HILUX,PRODUCTION,KALANGALA DLG
1,2.0,LG0014- 40,2017.0,"177,789,180",TOYOTA LAND CRUISER- AMBULANCE,KALANGALA HC IV,KALANGALA D/HQTRS
2,3.0,LG0018- 040,2016.0,"157,114,000",FORDRANGER D/CABIN,KALANGALA HC IV,KALANGALA D/HQTRS
3,4.0,LG0041-40,2007.0, ,TOYOTA,KALANGALA D/HQTRS,KALANGALA D/HQTRS
4,5.0,LG0014- 040,2016.0, ,STATION WAGON,D/HQTRS KALANGALA,KALANGALA D/HQTRS
5,6.0,UAJ 292 X,2008.0,NAADS,TOYOTA D/CABIN,D/HQTRS KALANGALA,KALANGALA D/HQTRS
6,7.0,UG0021- 15,2006.0, ,TOYOTA D/CABIN,D/HQTRS KALANGALA,KALANGALA D/HQTRS
7,8.0,LG0033- 15,2007.0, ,FORD EVEREST,KALANGALA D/HQTRS,KALANGALA D/HQTRS
8,9.0,LG0034- 15,2008.0, ,TOYOTA OMNI BUS,KALANGALA D/HQTRS,KALANGALA D/HQTRS
9,10.0,UG3169 R,2015.0, ,MITSUBISHI PICK UP,KALANGALA D/HQTRS,KALANGALA D/HQTRS
10,11.0,UG0033 S,2007.0, ,TOYOTA HILUX,KALANGALA D/HQTRS,KALANGALA D/HQTRS
11,12.0,LG0006- 15, , ,TOYOTA HILUX,KALANGALA D/HQTRS,KALANGALA D/HQTRS
12,13.0,.LG0017- 040,2016.0, ,NISSAN HARD BODY,KALANGALA D/HQTRS,KALANGALA D/HQTRS
13,14.0,LG0059- 15,2009.0,NOT CLEAR,TOYOTA LAND CRUISER HARD TOP,CAO’S OFFICE,KALANGALA D/HQTRS
14,15.0,UG6500 M,2020.0,DONATION,TOYOTA D/CABIN,KALANGALA HC IV,KALANGALA D/HQTRS
15, ,Total Cost, , , , , 
