,Acronym,Meaning
0,ACDP,Agriculture Cluster Development Project
1,AIA,Appropriation in Aid
2,CAO,Chief Administrative Officer
3,DLG,District Local Government
4,GoU,Government of Uganda
5,HR,Human Resource
6,ICT,Information & Communication Technology
7,IFMS,Integrated Financial Management System
8,INTOSAI,International Organization of Supreme Audit Institutions
9,IPF,Indicative Planning Figures
10,IPPS,Intergrated Personel and Payroll System
11,ISSAI,International Strandards for Supreme Audit Institutions
12,ISSAIs,International Standards of Supreme Audit Institutions
13,LGFAM,"Local Government Financial and Accounting Manual, 2007"
14,LGFAR,"Local Government Financial and Accounting Manual, 2007"
15,LLG,Lower Local Governments
16,MDAs,"Ministries, Departments and Agencies"
17,MoFPED,"Ministry of Finance, Planning and Economic Development"
18,MoGLSD,"Ministry of Gender, Labour and Social Development"
19,MoLG,Ministry of Local Government
20,MoPS,Ministry of Public Service
21,NAA,National Audit Act
22,NDP,National Development Plan
23,NIRA,National Identification Registration Authority
24,NPA,National Planning Authority
25,NTR,Non-Tax Revenue
26,OAG,Office of the Auditor General
27,PAYE,Pay As You Earn
28,PBS,Program Budgeting System
29,PCA,Payroll Consults Africa
30,PDMS,Payroll Deduction Management System
31,PDU,Procurement & Disposal Unit
32,PFMA,Public Finance Management Act
33,PFMR,Public Finance Management Regulations
34,PPDA,Public Procurement & Disposal of Public Assets
35,PS/ST,Permanent Secretary / Secretary to the Treasury
36,TI,Treasury Instructions
37,TSA,Treasury Single Account
38,TSSA,Treasury Sub Single Account
39,UCF,Uganda Consolidated Fund
40,UgIFT,Uganda Intergovernmental Fiscal Transfers Program for Results
