,S/No. 1,Project Category USMID Road Projects,Item,Items for Comparison,Units
0, , ,Item 1 Precast concrete Class 30 barrier kerbs m, , 
1, , ,Item 2 Clearing and Grubbing ha, , 
2, , ,Item 3 CRR for Road Base m 3, , 
3, , ,Item 4 Asphalt Concrete for Surfacing m 3, , 
4, , ,"Item 5 White lines, broken or unbroken m", , 
5,"2 USMID Building Projects, & SFG/ DDEG/TDG building projects Item 1 Roofing Sheets (gauge 28) m 2 Item 2 Internal Plaster m 2 Item 3 230mm walling m 2 Item 4 Roofing Timber 100×50mm m Item 5 Reinforced Concrete m 3", , , , 
6, , , , , 
7, , , , , 
8, , , , , 
9, , , , , 
10,3 URF (Force Account) Item 1 600mm diameter concrete culverts m Item 2 Chippings/ aggregates m 3 Item 3 Fuel Ltr Item 4 Gravel m 3 Item 5 Cement Bag, , , , 
11, , , , , 
12, , , , , 
13, , , , , 
14, , , , , 
15,4 URF (Contracted) Item 1 600mm culverts m Item 2 Concrete for drains m 3 Item 3 Prime Coat Ltr Item 4 First Seal Coat m 2 Item 5 Gravel for sub-base m 3, , , , 
16, , , , , 
17, , , , , 
18, , , , , 
19, , , , , 
