,Acronym,Meaning
0,ARSDP,Albertine Region Sustainable Development Project
1,IFMS,Integrated Financial Management System
2,ISSAIs,International Standards of Supreme Audit Institutions
3,IPSASs,International Public Sector Accounting Standards
4,MDAs,"Ministries, Departments and Agencies"
5,MoFPED,"Ministry of Finance, Planning and Economic Development"
6,TAI,Treasury Accounting instructions
7,PFMA,Public Financial Management Act
8,PPDA,Public Procurement and Disposal of Assets
9,USDP,Uganda Skills Development Project
10,POM,Project Operational Manual (ARSDP)
11,PAD,Project Appraisal Document
12,URA,Uganda Revenue Authority
