,S/No,Project /Description /Purpose,Amount (UGX),Amount (USD)
0,1.0,CRN.3 Interest Claim Hima Katunguru Road,"113,383,631", 
1,2.0,Crn.3 Interest Claim Hima Katunguru Roads,"65,176,333", 
2,3.0,China R/Way No.3 Interest Claim for Advance,"42,752,606", 
3,4.0,CR/Way N.3 Interest for IPC 3 Hima Katunguru Road,"29,940,467", 
4,5.0,CRN.3 Interest Claim Hima Katunguru Road,"20,409,054", 
5,6.0,CRN.3 INTEREST Claim HIMA KATUNGURU Roads,"11,731,740", 
6,7.0,China Communication's Interest IPC (IPCs 17 - 22) Kampala Entebbe Expressway,"200,547,648", 
7,8.0,CRNO.5 Interest on IPCs -Bulima Kabwoya Road,"184,800,764", 
8,9.0,"Civil suit, Dott Vs UNRA, Interest and damages","3,280,916,469", 
9,10.0,Interest certificate- Lot 1 Alla and Enyau bridges,"39,063,465", 
10,11.0,Interest certificate- Lot 1 Alla and Enyau bridges,"217,019,250", 
11,12.0,Civil Suit No. 019 Of 2018,"260,900,594", 
12,13.0,IPC 16B Interest on Advance -Bulima Kabwoya Road,"1,051,533,713", 
13,1.0,Bumbobi-Lwakhakha,"178,504,035","172,534.16"
14,2.0,Kyenjojo-FortPortal,"245,530,973","16,435.74"
15,1.0,Soroti-Katakwi-Akisim,"407,287,185","64,255.07"
16,2.0,Musiita-Lumino-Majanji,"1,750,442,832.39","627,224"
17, ,Total,"8,099,940,759.39","880,448.97"
