,S/no,Contract road name/Contractor,Contractor,Contract Price (UGX),Euro
0,1.0,Soroti - Katakwi - Akisim road,CCCC,"304,000,000,000", 
1,2.0,Bumbobi Lwakhakha road -,China State Engineering Ltd,"140,724,000,000", 
2,3.0,Nakalama - Tirinyi - Mbale road,Dott Services,"135,370,000,000", 
3,4.0,Musita - Lumino / Busia - Majanji road,Railway Bureau China 18th (Group) Co. Ltd,"206,784,423,053", 
4,5.0,Kampala Northern bypass - Phase 2,M/s Mota Engil Engeharia E Construcao,0,"106,480,753.07"
5,6.0,Ishaka - Katunguru road,"M/s Mota Engil Engeharia E Construcao Africa, S.A","103,852,641,242", 
6,7.0,Kyenjojo - Fort Portal road/ China Wu Yi Co ltd, ,"71,435,766,901", 
7,8.0,Hoima - Butiaba - Wanseko road,Chongqing International Construction Corporation,"337,440,000,000", 
8,9.0,Kabong bridge,Terrain Services,"13,321,891,188.00", 
9,10.0,Lopei bridge,Terrain Services,"12,468,2.82,364", 
10,11.0,"Waiga Ruzairwe Nsongi Mpondwe bridge bridge, bridge, bridge,",Armpass,"46,000,000,000", 
11, ,TOTAL, ,"1,358,928,735,218.8","106,480,753.07"
