,57,Buwanga youth silverfish,2014/2015,"5,000,000",Unnamed: 4,"1,693,000","3,307,000",Unnamed: 7
0,58.0,Buwazi animal feeds,2014/2015,"11,668,000", ,"800,000","10,868,000", 
1,59.0,Kyamuswa Youth Bakery,2014/2015,"10,256,000", ,"2,410,000","7,846,000", 
2,60.0,Tukolere wamu piggery,2015/2016,"6,000,000", ,"420,000","5,580,000", 
3,61.0,Bivamuntuuyo youth Diary,2015/2016,"5,400,000", ,"652,000","4,748,000", 
4,62.0,Twekembe Lwanabatya youth silverfish,2015/2016,"5,000,000", ,"3,500,000","1,500,000", 
5,63.0,Lwanabatya Kateyanira Youth Silverfsh,2015/2016,"5,000,", ,"440,000","4,560,000", 
6,64.0,Buswaga agali awamu bodaboa,2015/2016,"7,500,000", ,"733,000","6,767,000", 
7,65.0,Bukasa youth Devt saloon,2015/2016,"6,815,000", ,"1,200,000","5,615,000", 
8,66.0,Buwanga youth produce buying,2016/2017,"6,500,000", ,"225,000","6,275,000", 
9,67.0,Butulume Youth Fishing,2014/2015,"5,300,000", ,"680,000","4,620,000", 
10,68.0,Kyeserwa youth Poultry,2014/2015,"5,000,000", ,"500,000","4,500,000", 
11,70.0,Busindi Youth Piggery,2014/2015,"5,000,000", ,"1,900,000","3,100,000", 
12,71.0,Mirindi silverfish,2014/2015,"5,000,000", ,"2,750,000","2,250,000", 
13,72.0,Mawaala Community Youth silverfish,2014/2015,"6,500,000", ,"2,200,000","4,300,000", 
14,73.0,Nkose Youth Agri-tech Poultry,2014/2015,"6,400,000", ,"783,000","5,617,000", 
15,74.0,Kwekulakulanya Youth Poultry,2014/2015,"6,250,000", ,0,"6,250,000", 
16,75.0,Katookemukene value addition,2015/2016,"6,000,000", ,0,"6,000,000", 
17,76.0,Bavubuka Twegatte Kikwayu Youth,2016/2017,"8,000,000", ,"3,800,000","4,200,000", 
18,77.0,Kibanga Buligo Youth Carpentry,2017/2018,"7,900,000", ,0,"7,900,000", 
19,78.0,Kiiku Oe perch Buying Association,2016/2017,"8,200,000", ,"800,000","7,400,000", 
20,79.0,Kakyanga One Heart Bakery Youth,2016/2017,"7,300,000", ,0,"7,300,000",The group business was not managed well and it collapse within two months
21, , , ,"631,253,500","2,732,250","129,590,500","527,093,000", 
