,CoC,Certificates of Compliance
0,GoU,Government of Uganda
1,IESBA,International Ethics Standards Board for Accountants
2,INTOSAI,International Organisation of Supreme Audit Institutions
3,ISSAIs,International Standards of Supreme Audit Institutions
4,LGFAM,Local Government Financial and Accounting Manual
5,NDP,National Development Plan
6,NPA,National Planning Authority
7,NUSAF,Northern Uganda Social Action Fund
8,PFMA,Public Finance Management Act
9,TSA,Single Treasury Account
10,TSSA,Sub Single Treasury Account
11,UgIFT,Uganda Intergovernmental Fiscal Transfers Program for Results
12,UGX,Uganda Shillings
13,URF,Uganda Road Fund
