,Acronym,Meaning
0,BAC,Bukalasa Agricultural College
1,F/Y,Financial Year
2,FTI,Fisheries Training Institute
3,GOU,Government of Uganda
4,INTOSAI,International Organization of Supreme Audit Institutions
5,ISA,International Standards on Auditing
6,KPIs,Key Performance indicators
7,MAAIF,"Ministry of Agriculture, Animal Industry and Fisheries"
8,MDA,"Ministry, Department, and other Agencies"
9,MOFPED,"Ministry of Finance, Planning and Economic Development"
10,NAADS,National Agricultural Advisory Services
11,NFLC,National Farmers’ Leadership Centre
12,NPPO,National Plant Protection Organization
13,PFMA,"Public Finance Management Act, 2015"
14,PPDA,Public Procurement and Disposal of Assets
15,TI,Treasury Instructions 2017
16,UGX,Uganda Shillings
17,USD,United States Dollars
