,Fully Implemented Out-puts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Partially Implemented Out-Puts,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Out-puts not Implemented at all,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,N o.,Out-put,Total Out- put expenditur e UGX ‘000”,Tot al No acti viti es,of Numbe r fully implem ented activiti es,No.,Out-put,Total Out- put expenditur e UGX ‘000”,Tot al No act ivit ies,Num ber of fully impl eme nted activ ities,No of partial ly imple mente d activiti es,No of activiti es that were not implem ented,N o.,Out-put,Total Out- put expenditur e UGX ‘000”,Total No activi ties,fully Number of impleme nted activities
1,and livestock products, , , , , , , , , , , , , , , , 
2,7,4: Promotion of sustainable fisheries,"680,180",3,3,7,83: Fisheries Infrastructure Construction,"649,504",2,1,0,1, , , , , 
3,8,3: Crop production technology promotion,"500,000",1,1,8,80: Livestock Infrastructure Construction,"480,000",4,2,2,0, , , , , 
4,9,71: Acquisition of Land by Government,"4,097,000",1,1,9,Creating and Enabling environment for Agriculture 5:,"170,000",2,1,1,0, , , , , 
5,10,along 2: Quality Assurance systems the value chain,"1,783,594",3,3,10,Support for Agricultural Training Institutions 53:,"350,000",1,0,1,0, , , , , 
6,11,5: Vector and disease control measures,"4,582,594",3,3, ,Total,"31,874,455",32,20,11,1, , , , , 
7,12,9: Vector and disease control in priority animal commodities,"3,657,244",5,5, , , , , , , , , , , , 
8,13,55: Transfer to Uganda Veterinary Board,"250,000",2,2, , , , , , , , , , , , 
9,14,2: Fisheries Quality Assurance and standards,"1,000,000",2,2, , , , , , , , , , , , 
10,15,4: Promotion of,"345,000",3,3, , , , , , , , , , , , 
