,Met hod,Activity/R oad Name,Planned Output/ Quantity,Actual Output/ Quantity,Variance in Output/ quantity,Amount Budgeted (UGX)),Amount Released (UGX),Amount spent (UGX),Variance (UGX),Mgt Explanation,Audit Remarks
0,Periodic Road Maintenance, , , , , , , , , , 
1, , , , , , , , , , , 
2,Routine Mechanised, , , , , , , , , , 
3,1,Akonyibedo- Omoti,17.0,17.0,0.0,"69,540,571","69,540,571","69,573,000","- 32,429", , 
4,2,Cooper Cetcan- Pugwinyi,15.5,16.0,-0.5,"65,000,000","65,000,000","64,973,800","26,200", , 
5,3,Pageya Omel,11.0,11.2,-0.2,"41,509,226","41,509,226","41,503,500","5,726", , 
6,4,Negri- Paiminano- Lalem,6.5,6.3,0.2,"42,155,000","42,155,000","42,155,000",-, , 
7,5,Paicho- Corner Mega,8.5,8.9,-0.4,"10,872,047","10,872,047","10,872,020",27, , 
8, , ,58.5,59.4,-0.9,"229,076,844","229,076,844","229,077,320",- 476, , 
9,Routine manual, , , , , , , , , , 
10,1,Abera- Awach,19.2,19.2,0.0,"5,843,072","5,843,072","5,843,072",0, , 
11,2,Akonyibedo- Omoti,22.5,22.5,0.0,"6,847,352","6,847,352","6,847,352",0, , 
12,3,Awach-Arut,12.4,12.4,0.0, , ,"3,773,652",0, , 
