,Acronym,Meaning
0,BEC,Budget Execution Circular
1,Bn,Billion
2,CGV,Chief Government Valuer
3,EACAA,East African Civil Aviation Academy
4,GCALA,Guidelines for Compensation Assessment under Land Acquisition
5,GoU,Government of Uganda
6,HR,Human Resource
7,ICT,Information & Communication Technology
8,INTOSAI,International Organization of Supreme Audit Institutions
9,ISSAIs,International Standards of Supreme Audit Institutions
10,KCCA,Kampala Capital City Authority
11,MDAs,"Ministries, Departments and Agencies"
12,MoFA,Ministry of Foreign Affairs
13,MoFPED,"Ministry of Finance, Planning and Economic Development"
14,MoWT,Ministry of Works and Transport
15,NAA,National Audit Act
16,NTR,Non-Tax Revenue
17,OAG,Office of the Auditor General
18,PAPs,Project Affected Persons
19,PBS,Program Budgeting System
20,PDM,Parish Development Model
21,PDU,Procurement & Disposal Unit
22,PFMA,Public Finance Management Act
23,PPDA,Public Procurement & Disposal of Public Assets
24,PS/ST,Permanent Secretary / Secretary to the Treasury
25,ROW,Right of Way
26,SGR,Standard Gauge Railway
27,TI,Treasury Instructions
28,UCF,Uganda Consolidated Fund
29,UGX,Uganda Shilling
