,No,Output,Details,Budget (UGX) “000”,Cumulative % share of the total approved budget
0,1.0,52.0,"Contributions to National, Regional and International Organizations","186,847,396",22.3
1,2.0,83.0,Border Post Rehabilitation/Construction,"178,584,883",43.6
2,3.0,73.0,"Roads, Streets and Highways","123,891,000",58.4
3,4.0,80.0,Construction/Rehabilitation of Inland Water Transport Infrastructure,"95,997,248",69.9
4,5.0,5.0,Water and Rail Transport Programmes Coordinated and Monitored.,"63,295,890",77.5
5,6.0,81.0,Construction/Rehabilitation of Railway Infrastructure,"60,591,014",84.7
6,7.0,75.0,Purchase of Motor Vehicles and Other Transport Equipment,"46,763,817",90.3
7,8.0,2.0,Road Safety Programmes Coordinated and Monitored,"24,651,296",93.2
8,9.0,72.0,Government Buildings and Administrative Infrastructure,"23,760,000",96.0
9,10.0,1.0,"Policies, laws, guidelines, plans and strategies","23,332,601",98.8
10, , ,Total,"827,715,145",98.8
