,Procurement Reference,Project Title,Unit cost per square meter,Unnamed: 3,Concrete,Unnamed: 5,Bricks,Unnamed: 7,Timber,Unnamed: 9,Iron sheets,Unnamed: 11,Reinforcement bars,Unnamed: 13
0, , ,Unit cost,Score out of 10 marks,Unit cost,Score out of 2 marks,Unit cost,Score out of 2 marks,Unit cost,Score out of 2 marks,Unit cost,Score out of 2 marks,Unit cost,Score out of 2 marks
1,Country wide Minimum, , , ,"183,333", ,"17,300", ,"3,667", ,"15,700", ,"2,250", 
2,Country wide Maximum, , , ,"811,667", ,"71,875", ,"18,000", ,"48,500", ,"11,000", 
3,Country wide Average, , , ,"314,268", ,"32,685", ,"6,627", ,"29,525", ,"4,858", 
4,GULU508/WRKS/201 4-2015/00004,Completion of renovation of a theatre at Awach HCIV in the FY 2016/17,Not Applicable, ,Not Applicabl e, ,Not Applicabl e, ,Not Applicabl e, ,Not Applica ble, ,Not Applica ble, 
5,GULU508/WRKS/201 5-2016/000020,Construction of a four- stance VIP latrine with a urinal at Awach HCIV,"1,452,328",5.4,"410,000",0,"25,000",0.2,7.400,0.4,"28,000",0.2,"5,800",0.5
6,GULU508/WRKS/201 6-2017/000028,Construction of a Four- Stance VIP Latrine with a Urinal at Binya HCII,"1,452,318",2.7,"410,000",0,"25,000",0.2,"7,400",0.4,"28,000",0.2,"5,800",0.5
7,GULU508/WRKS/201 7-2018/00021,Construction of a Two- Stance Latrine with Urinal at Pugwinyi HCII,"871,765",4.5,"225,000",0.1,"21,000",0.4,"6,400",0.4,"22,000",0.2,"4,800",0.5
8,GULU508/WRKS/201 6-2017/000,Construction of Placenta Pit at Oitino HCII,Not Applicable, ,Not Applicabl e, ,Not Applicabl e, ,Not Applicabl e, ,Not Applica ble, ,Not Applica ble, 
9,Total Score, , ,12.6, ,0.1, ,0.8, ,1.2, ,0.6, ,1.5
10, , , , , ,4.2, , , , , , , , 
11,Overall % Score (12.6+4.2+0=16.8 out of 75), , , ,22.4%, , , , , , , , , 
12, , , , , , , , , , , , , , 
