,SchoolName,No.O fpupil,Pupil to toilet Stance ratio,Unnamed: 3,Unnamed: 4,Pupil to desk ratio,Unnamed: 6,Unnamed: 7,Text book to pupil ratio,Unnamed: 9,Unnamed: 10,Library,Unnamed: 12,Teachers houses,Unnamed: 14,Play ground,Unnamed: 16
0, , ,Sampled LGs average 1:68, , ,Sampled LG average 1:6, , ,Sampled LG average 2:1, , , , ,Sampled LG average 4, ,Sampled LG average 1, 
1, , ,District average 1:48, , ,District average 1:4, , ,District average 1:1, , , , ,District average 7, ,District average 1, 
2, , ,No.oftoilet stances,Ratio,Scoreoutof 5,Noofdesks,Ratio,Scoreoutof 5,No.ofText books,Ratio,Scoreoutof 2,Availability ofLib,Scoreoutof 1,No.of teac hers houses,Scoreoutof 8,Availability ofplay ground,Scoreoutof 4
3,Loyoajonga Primary School,683.0,10,1:68,0,134,1:5,5,720,1:1,2,0,0,8,8,1,4
4,Acet Primary School,1137.0,25,1:45,5,241,1:5,5,1500,1:1,2,0,0,6,8,1,4
5,Wii-Aceng Primary School,260.0,15,1:14,5,117,1:2,5,660,3:1,2,0,0,6,8,1,4
6,Kitenyi Owalo Primary School,569.0,10,1:57,5,142,1:4,5,442,1:1,2,0,0,4,8,1,4
7,Tegot Primary School,852.0,16,1:53,5,204,1:4,5,442,2:1,2,0,0,11,8,1,4
8,Total Score 20 out of 25, , , ,20,25 out of 25, ,25,10 out of 10, ,10,0 out of 5,0,40 out of 40,40,16 out of 16,16
9,Overall % score 121 out of 171 70.8%, , , , , , , , , , , , , , , , 
