,No,Program Name,Revised Budget (UGX) Tn,Total Warrants (UGX) Tn,Variance (UGX) Tn
0,1,Agro-Industrialization,1.012,0.906,0.106
1,2,Mineral Development,0.024,0.016,0.009
2,3,Sustainable Petroleum Development,0.881,0.835,0.047
3,4,Manufacturing,0.586,0.519,0.067
4,5,Tourism Development,0.205,0.113,0.092
5,6,"Natural Resources, Environment, Climate Change, Land And Water",0.423,0.369,0.055
6,7,Private Sector Development,1.598,1.571,0.027
7,8,Sustainable Energy Development,0.651,0.482,0.169
8,9,Integrated Transport Infrastructure And Services,3.373,2.899,0.475
9,10,Sustainable Urbanisation And Housing,0.108,0.091,0.018
10,11,Digital Transformation,0.249,0.212,0.037
11,12,Human Capital Development,7.828,7.362,0.467
12,13,"Innovation, Technology Development And Transfer",0.25,0.214,0.036
13,14,Public Sector Transformation,0.873,0.841,0.031
14,15,Community Mobilization And Mindset Change,0.116,0.101,0.015
15,16,Governance And Security,8.146,7.902,0.244
16,17,Regional Balanced Development,0.072,0.053,0.019
17,18,Development Plan Implementation,18.055,17.333,0.722
18,19,Administration Of Justice,0.403,0.391,0.012
19,20,"Legislation, Oversight And Representation",0.915,0.915,-
20,Total*,45.771,43.124,2.646, 
