,No,Program Name,Total Warrants (UGX) Tn,Total payments (UGX) Tn,Variance (UGX) Tn
0,1.0,Agro-Industrialization,0.906,0.83,0.076
1,2.0,Mineral Development,0.016,0.015,0.0
2,3.0,Sustainable Petroleum Development,0.835,0.831,0.004
3,4.0,Manufacturing,0.519,0.508,0.011
4,5.0,Tourism Development,0.113,0.109,0.004
5,6.0,"Natural Resources, Environment, Climate Change, Land And Water",0.369,0.345,0.024
6,7.0,Private Sector Development,1.571,1.563,0.008
7,8.0,Sustainable Energy Development,0.482,0.471,0.011
8,9.0,Integrated Transport Infrastructure And Services,2.899,2.837,0.062
9,10.0,Sustainable Urbanisation And Housing,0.091,0.09,0.001
10,11.0,Digital Transformation,0.212,0.208,0.005
11,12.0,Human Capital Development,7.362,6.91,0.451
12,13.0,"Innovation, Technology Development And Transfer",0.214,0.214,0.0
13,14.0,Public Sector Transformation,0.841,0.746,0.095
14,15.0,Community Mobilization And Mindset Change,0.101,0.098,0.003
15,16.0,Governance And Security,7.902,7.811,0.092
16,17.0,Regional Balanced Development,0.053,0.049,0.004
17,18.0,Development Plan Implementation,17.333,14.543,2.79
18,19.0,Administration Of Justice,0.391,0.365,0.026
19,20.0,"Legislation, Oversight And Representation",0.915,0.906,0.009
20, ,Total*,43.124,39.449,3.676
