,21,601,Arua City Council,4,39,39.1,-,"9,900,000,000",4.1,10,-.1,10.1,"4,500,000,000"
0,22,831,Dokolo District Local Government, , ,-,-,-,4.0,30.0,-,30,"5,062,802,327"
1,23,837,Isingiro District Local Government,5.0,16.0,16,-,"20,537,284,92 2", , , ,-,-
2,24,861,Kiboga District Local Government,3.0,12.0,12,-,"2,677,590,651",5.0,18.0,13,5,"1,613,650,350"
3,25,903,Nakasongola District Local Government,1.0,11.0,11,-,"240,000,000",4.0,48.0,24,24,"19,940,000,00 0"
4,26,725,Nansana Municipal Council,14.0,30.0,30,-,"16,314,000,00 0",3.0,6.0,-,6,"478,000,000"
5,27,913,Obongi District Local Government,3.0,116.0,116,-,"3,304,645,120", , , ,-,-
6,28,923,Rukiga District Local Government,7.0,24.0,24,-,"2,551,077,737", , , ,-,-
7,29,933,Wakiso District Local Government,5.0,10.0,10,-,"9,088,913,398",2.0,3.0,3,-,"1,685,667,913"
8,30,830,Buyende District Local Government,2.0,2.0,2,-,"287,000,000",10.0,12.0,-,12,"3,560,000,000"
9,31,906,Namutumba District Local Government,4.0,25.0,25,-,"1,180,000,000",2.0,3.0,-,3,"1,970,000,000"
10,32,802,Adjumani District Local Government,2.0,2.0,2,-,"628,568",4.0,7.0,2,5,"20,240,669"
11,33,908,Nebbi District Local Government,2.0,6.0,6,-,"1,335,194,427",4.0,9.0,-,9,"1,715,865,107"
12,34,718,Lugazi Municipal Council, , ,-,-,-, , , ,-,-
13,35,935,Zombo District Local Government,4.0,17.0,17,-,"365,304,082",2.0,8.0,6,2,"601,864,758"
14,36,801,Abim District Local Government,2.0,2.0,2,-,"434,186,858",7.0,21.0,2,19,"2,460,610,303"
15,37,702,Bugiri Municipal Council,4.0,4.0,4,-,"594,324,760",6.0,6.0,-,6,"548,152,758"
16,38,815,Buhweju District Local Government,12.0,33.0,33,-,"5,131,591,645", , , ,-,-
17,39,843,Kagadi District Local Government,9.0,21.0,21,-,"10,089,544,85 0",1.0,4.0,2,2,"2,100,448,673"
18,40,881,Luuka District Local Government,10.0,17.0,17,-,"2,994,290,843",3.0,3.0,-,3,"102,439,850"
19,41,842,Kaberamaido District Local Government,4.0,7.0,7,-,"752,040,000",9.0,36.0,-,36,"1,200,924,025"
20,42,853,Kapelebyong District Local Government,1.0,8.0,8,-,"110,535,000",3.0,14.0,-,14,"1,241,452,042"
21,43,872,Kumi District Local Government, , ,-,-,-,5.0,20.0,-,20,"2,779,368,612"
22,44,915,Otuke District Local Government,1.0,2.0,2,-,"50,000,000",5.0,9.0,-,9,"3,720,000,000"
