,SN,Vote code,Entity Name,Fully implemented outputs,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Partially implemented outputs,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Not implemented outputs,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0, , , ,No. of out put s ass ess ed,No of acti vitie s in the out put s,No. of Acti vitie s full y impl eme nte d,No of acti vitie s part ially impl eme nte d,No of acti vitie s not impl eme nte d,Expenditure Amount (UGX),No. of out put s ass ess ed,No of acti vitie s in the out put s,No. of Acti vitie s full y impl eme nte d,No of acti vitie s part ially impl eme nte d,No of acti vitie s not impl eme nte d,Expenditure Amount (UGX),No. of out put s ass ess ed,No of acti vitie s in the out put s,No. of Acti vitie s full y impl eme nte d,No of acti vitie s parti ally impl eme nted,No of acti vitie s not impl eme nte d,ure Amount (UGX) Expendit
1,1.0,705.0,Entebbe MC,1,2,2,-, ,"851,590,000",12,97, ,97, ,"500,600,000", , , , , , 
2,2.0,858.0,Kayunga DLG,10,41,41,-, ,"5,100,000,000",5,11, ,11, ,"3,400,000,000", , , , , , 
3,3.0,712.0,Kira MC,1,7,7,-, ,"2,400,000,000",4,23,16,3,4,"11,800,000,000", , , , , , 
4,4.0,719.0,Makindye Ssabagabo MC,1,2,2,-, ,"420,000,000",2,2, ,2, ,"3,700,000,000", , , , , , 
5,5.0,894.0,Mityana DLG, , , ,-, ,-, , , , , ,-, , , , , , 
6,6.0,897.0,Mpigi DLG,2,32,32,-, ,"1,927,000,000",1,2, ,2, ,"144,000,000",1,2, , ,2,"78,000,00 0"
7,7.0,899.0,Mukono DLG,5,20,20,-, ,"2,100,000,000",6,17, ,17, ,"4,580,000,000",1,1, , ,1,"120,000,0 00"
8,8.0,820.0,Bulambuli DLG,2,4,4,-,-,"237,560,005",2,27,20,7,-,"9,542,521,425", , , , , , 
9,9.0,604.0,Hoima City,4,11,11,-,-,"478,072,064",3,34,9,21,4,"18,363,038,660", , , , , , 
10,10.0,834.0,Hoima DLG,6,13,13,-,-,"817,513,996",4,31,8,18,5,"2,825,600,630",1,2,-,-,2,"190,161,2 42"
11,11.0,724.0,Mukono MC,1,1,1,-,-,"5,212,432",1,1,-,1,-,"7,000,000", , , , , , 
12,12.0,902.0,Nakaseke DLG,8,16,16,-,-,"2,230,000,000",5,25,4,21,-,"2,250,000,000", , , , , , 
13,13.0,905.0,Namisindwa DLG,6,23,23,-,-,"2,150,000,000",4,15,8,3,4,"3,800,000,000", , , , , , 
14,14.0,934.0,Yumbe DLG,4,17,17,-,-,"186,000,000",8,29,11,12,6,"2,656,000,000", , , , , , 
15,15.0,823.0,Bunyagabu DLG,5,18,18,-,-,"1,220,000,000",4,6,-,6,-,"1,930,000,000",-,-,-,-,-,-
16,16.0,841.0,Kabarole DLG,3,14,14,-,-,"1,280,000,000",3,5,-,5,-,"2,560,000,000",-,-,-,-,-,-
17,17.0,711.0,Kasese MC,2,18,18,-,-,"573,090,290",1,4,-,4,-,"17,907,543,000",-,-,-,-,-,-
18,18.0,867.0,Kitagwenda DLG,4,9,9,-,-,"690,000,000",2,3,-,2,1,"1,070,000,000",-,-,-,-,-,-
19,19.0,910.0,Ntoroko DLG,7,16,16,-,-,"893,771,000",2,3,-,5,5,"2,249,044,000",-,-,-,-,-,-
20,20.0,807.0,Amuria DLG,4,7,7,-,-,"870,000,000",7,27,14,12,1,"1,880,000,000", , , , , , 
21,21.0,601.0,Arua City Council,6,27,27,-,-,"13,660,000,000",2,22,-,2,20,"740,000,000", , , , , , 
22,22.0,831.0,Dokolo DLG, , , ,-, , , , , , , , , , , , , , 
23,23.0,837.0,Isingiro DLG,4,10,10,-,-,"2,043,458,849",1,6,-,6,-,"18,493,826,073", , , , , , 
24,24.0,861.0,Kiboga DLG,2,9,9,-,-,"1,661,916,659",4,13,7,5,1,"1,847,135,342",2,3,-,-,3,"782,189,0 00"
