,25,903,Nakasongola DLG,-,-.1,-.2,-.3,-.4,-.5,1,11,7,2,2.1,"242,000,000",Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,26,725,Nansana MC,13,27,27,-,-,"32,122,000,000",1,3,-,3,-,"1,242,000,000", , , , , , 
1,27,913,Obongi DLG,2,114,114,-,-,"113,427,675",1,2,-,2,-,"3,191,217,445", , , , , , 
2,28,923,Rukiga DLG,5,18,18,-,-,"2,551,077,737", , , , , , ,2,6,-,-,6,"24,000,00 0"
3,29,933,Wakiso DLG,3,5,5,-,-,"1,991,265,711",4,8, , , ,"8,783,315,000", , , , , , 
4,30,830,Buyende DLG,2,2,2,-,-,"280,000,000",-,-,-,-,-,-,-,-,-,-,-,-
5,31,906,Namutumba DLG,3,20,20,-,-,"480,000,000",1,5,4,1,4,"700,000,000",-,-,-,-,-,-
6,32,802,Adjumani DLG,3,4,4,-,-,"922,636,000",-,-,-,-,-,-,-,-,-,-,-,-
7,33,908,Nebbi DLG,1,5,5,-,-,"59,533,000",1,1,-,1,-,"1,275,661,427",-,-,-,-,-,-
8,34,935,Zombo DLG,4,10,10,-,-,"676,428,964",1,1,-,1,-,"290,739,876",1,14,-,-,14,"1,425,000 000"
9,35,718,Lugazi MC,1,1,1,-,-,"210,000,000",2,2,-,2,-,"8,080,000,000",-,-,-,-,-,-
10,36,801,Abim DLG,5,18,18,-,-,"2,088,700,008",4,5,1,4,-,"806,097,153", , , , , , 
11,37,702,Bugiri MC,2,2,2,-,-,"318,822,132",2,2,-,2,-,"275,502,628", , , , , , 
12,38,815,Buhweju DLG,4,22,22,-,-,"755,114,790",6,2,-,-,2,"4,048,198,110",2,2,-,-,2,"325,278,7 45"
13,39,843,Kagadi DLG,8,21,21,-,-,"6,247,321,233",2,4,2,2,-,"5,942,672,290", , , , , , 
14,40,881,Luuka DLG,7,14,14,-,-,"1,780,000,000",3,3,-,3,-,"1,210,000,000", , , , , , 
15,41,842,Kaberamaido DLG,4,6,6,-,-,"1,678,018,000",2,3,-,-,-,"574,204,000",1,4,-,-,4,"122,000,0 00"
16,42,853,Kapelebyong DLG,-,-,-,-,-,-,1,8,4,4,-,"110,535,000",1,8,-,-,8,"11,162,78 4"
17,43,872,Kumi DLG,3,23,23,-,-,"1,670,000,000",2,2,-,2,-,"96,200,000", , , , , , 
18,44,915,Otuke DLG,1,2,2,-,-,"47,172,022", , , , , , , , , , , , 
19,45,929,Sironko DLG,13,13,13,-,-,"16,800,000,000",2,2,-,2,-,"940,000,000",1,1,-,-,1, 
20,46,932,Tororo DLG,5,12,12,-,-,"1,720,000,000",5,8,-,7,1,"3,427,000,000", , , , , , 
21,47,832,Gomba DLG,4,15,15,-,-,"1,176,166,465",2,10,5,5,-,"423,397,488",1,1,-,-,1,"80,742,75 7"
22,48,846,Kalangala DLG,7,12,12,-,-,"4,833,394,986",-,-,-,-,-,-,-,-,-,-,-,-
23,49,848,Kalungu DLG,8,13,13,-,-,"1,428,451,141",2,10,7,3,-,"694,773,045",-,-,-,-,-,-
24,50,855,Kasanda DLG,7,29,29,-,-,"5,043,983,390",2,4,2,2,-,"711,581,084",-,-,-,-,-,-
25,51,878,Kyotera DLG,5,12,12,-,-,"732,148,855",4,6,-,6,-,"3,811,438,032",-,-,-,-,-,"3,811,438 032"
26,52,883,Lwengo DLG,3,12,12,-,-,"2,460,821,692",-,-,-,-,-,-,-,-,-,-,-,-
27,53,884,Lyantonde DLG,5,16,16,-,-,"1,860,537,716",-,-,-,-,-,-,-,-,-,-,-,-
28,54,607,Masaka City,1,5,5,-,-,"210,678,349",-,-,-,-,-,-,-,-,-,-,-,-
29,55,898,Mubende DLG,-,-,-,-,-,-,8,18,14,4,-,"7,453,321,124",-,-,-,-,-,-
30,56,723,Mubende MC,4,10,10,-,-,"722,453,668",-,-,-,-,-,-,-,-,-,-,-,-
31,57,920,Rakai DLG,4,14,14,-,-,"2,534,675,934",2,3,-,3,-,"1,578,515,260",-,-,-,-,-,-
32,58,806,Amudat DLG,7,18,18,-,-,"3,560,610,837",1,1,-,1,-,"167,421,744",-,-,-,-,-,-
33,59,839,Kaabong DLG,1,1,1,-,-,"93,985,112",5,34,17,11,6,"1,430,537,100",-,-,-,-,-,-
34,60,895,Moroto DLG,4,9,9,-,-,"812,048,213",3,6,3,3,-,"1,787,017,895",-,-,-,-,-,-
35,61,722,Moroto MC,3,7,7,-,-,"264,510,933",1,3,2,1,-,"2,997,395,691",-,-,-,-,-,-
